institution_id,institution_name,h2,author_count
https://openalex.org/I136199984,Harvard University,67,3848
https://openalex.org/I204730241,Université Paris Cité,56,1713
https://openalex.org/I201448701,University of Washington,50,1610
https://openalex.org/I40120149,University of Oxford,48,1254
https://openalex.org/I165779595,The University of Melbourne,47,1241
https://openalex.org/I145311948,Johns Hopkins University,46,1554
https://openalex.org/I97018004,Stanford University,44,1302
https://openalex.org/I180670191,"University of California, San Francisco",44,1490
https://openalex.org/I79576946,University of Pennsylvania,44,1648
https://openalex.org/I205783295,Cornell University,43,1399
https://openalex.org/I150468666,Emory University,43,1213
https://openalex.org/I170897317,Duke University,42,867
https://openalex.org/I28166907,Karolinska Institutet,42,1349
https://openalex.org/I126744593,"University of Maryland, Baltimore",42,781
https://openalex.org/I161318765,"University of California, Los Angeles",41,1382
https://openalex.org/I170201317,University of Pittsburgh,41,1207
https://openalex.org/I204465549,Washington University in St. Louis,41,1108
https://openalex.org/I121797337,Leiden University,40,761
https://openalex.org/I114027177,University of North Carolina at Chapel Hill,40,1175
https://openalex.org/I32971472,Yale University,40,1128
https://openalex.org/I45129253,University College London,39,1156
https://openalex.org/I36258959,University of California San Diego,39,944
https://openalex.org/I27837315,University of Michigan,39,1092
https://openalex.org/I241749,University of Cambridge,38,815
https://openalex.org/I185261750,University of Toronto,38,1110
https://openalex.org/I223822909,Heidelberg University,37,1338
https://openalex.org/I8204097,Ludwig-Maximilians-Universität München,37,1379
https://openalex.org/I32389192,University of Alabama at Birmingham,37,796
https://openalex.org/I887064364,University of Amsterdam,37,917
https://openalex.org/I124055696,University of Copenhagen,37,794
https://openalex.org/I130238516,University of Minnesota,37,1140
https://openalex.org/I202697423,University of Zurich,37,834
https://openalex.org/I84218800,"University of California, Davis",36,959
https://openalex.org/I166722992,University of Massachusetts Chan Medical School,36,599
https://openalex.org/I21491767,Aix-Marseille Université,35,448
https://openalex.org/I47508984,Imperial College London,35,782
https://openalex.org/I56590836,Monash University,35,606
https://openalex.org/I111979921,Northwestern University,35,717
https://openalex.org/I145872427,Radboud University Nijmegen,35,819
https://openalex.org/I165143802,The University of Queensland,35,724
https://openalex.org/I114457229,University of Geneva,35,425
https://openalex.org/I57206974,New York University,34,673
https://openalex.org/I111088046,Boston University,33,637
https://openalex.org/I32597200,Ghent University,33,536
https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",33,565
https://openalex.org/I861853513,Sapienza University of Rome,33,483
https://openalex.org/I129604602,The University of Sydney,33,677
https://openalex.org/I1850255,University of Basel,33,531
https://openalex.org/I118564535,University of Bern,33,644
https://openalex.org/I141945490,University of British Columbia,33,767
https://openalex.org/I161046081,University of Freiburg,33,793
https://openalex.org/I83816512,University of Genoa,33,292
https://openalex.org/I184942183,University of Oslo,33,600
https://openalex.org/I39343248,Humboldt-Universität zu Berlin,32,473
https://openalex.org/I135140700,University of Bonn,32,526
https://openalex.org/I40347166,University of Chicago,32,727
https://openalex.org/I51713134,University of Colorado Anschutz Medical Campus,32,356
https://openalex.org/I135310074,University of Wisconsin–Madison,32,981
https://openalex.org/I100532134,Université Claude Bernard Lyon 1,32,741
https://openalex.org/I193662353,Utrecht University,32,800
https://openalex.org/I129975664,Albert Einstein College of Medicine,31,519
https://openalex.org/I78577930,Columbia University,31,589
https://openalex.org/I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,31,734
https://openalex.org/I197323543,Johannes Gutenberg University Mainz,31,808
https://openalex.org/I22299242,Kyoto University,31,644
https://openalex.org/I83399316,Rockefeller University,31,501
https://openalex.org/I39804081,Sorbonne Université,31,731
https://openalex.org/I157773358,Sun Yat-sen University,31,1387
https://openalex.org/I17974374,Universidade de São Paulo,31,1568
https://openalex.org/I98677209,University of Edinburgh,31,600
https://openalex.org/I33213144,University of Florida,31,801
https://openalex.org/I126307644,University of Iowa,31,557
https://openalex.org/I97565354,University of Lausanne,31,504
https://openalex.org/I132053463,Université Libre de Bruxelles,31,418
https://openalex.org/I197251160,Hebrew University of Jerusalem,30,622
https://openalex.org/I135598925,Kyushu University,30,552
https://openalex.org/I76134821,Medical University of Vienna,30,542
https://openalex.org/I52357470,The Ohio State University,30,789
https://openalex.org/I74801974,The University of Tokyo,30,641
https://openalex.org/I121934306,Tufts University,30,484
https://openalex.org/I114832834,Tulane University,30,382
https://openalex.org/I7882870,University of Glasgow,30,527
https://openalex.org/I146655781,University of Liverpool,30,478
https://openalex.org/I154387261,Vita-Salute San Raffaele University,30,288
https://openalex.org/I204337017,Aarhus University,29,345
https://openalex.org/I181547552,Baylor College of Medicine,29,633
https://openalex.org/I58956616,Case Western Reserve University,29,479
https://openalex.org/I139660479,Central South University,29,686
https://openalex.org/I205349734,Hokkaido University,29,542
https://openalex.org/I98704320,Icahn School of Medicine at Mount Sinai,29,617
https://openalex.org/I183935753,King's College London,29,592
https://openalex.org/I187531555,Lund University,29,576
https://openalex.org/I165690674,Oregon Health & Science University,29,559
https://openalex.org/I139264467,Seoul National University,29,651
https://openalex.org/I101479585,South China Agricultural University,29,497
https://openalex.org/I921990950,University of Colorado Denver,29,650
https://openalex.org/I145608581,University of Miami,29,556
https://openalex.org/I277688954,Université Paris-Saclay,29,272
https://openalex.org/I19894307,Université de Montpellier,29,415
https://openalex.org/I70931966,Université de Montréal,29,532
https://openalex.org/I159385669,Chiba University,28,267
