institution_id,institution_name,h2,author_count
https://openalex.org/I136199984,Harvard University,36,1029
https://openalex.org/I114027177,University of North Carolina at Chapel Hill,33,531
https://openalex.org/I223822909,Heidelberg University,29,637
https://openalex.org/I36258959,University of California San Diego,29,493
https://openalex.org/I204730241,Université Paris Cité,29,528
https://openalex.org/I45129253,University College London,28,475
https://openalex.org/I79576946,University of Pennsylvania,28,459
https://openalex.org/I205783295,Cornell University,27,532
https://openalex.org/I185261750,University of Toronto,27,570
https://openalex.org/I165143802,The University of Queensland,26,268
https://openalex.org/I241749,University of Cambridge,26,428
https://openalex.org/I32971472,Yale University,26,523
https://openalex.org/I145311948,Johns Hopkins University,25,538
https://openalex.org/I28166907,Karolinska Institutet,25,231
https://openalex.org/I27837315,University of Michigan,25,466
https://openalex.org/I40120149,University of Oxford,25,326
https://openalex.org/I28407311,University of Manchester,24,280
https://openalex.org/I201448701,University of Washington,24,396
https://openalex.org/I899635006,Université Grenoble Alpes,24,158
https://openalex.org/I2746051580,Université Paris Sciences et Lettres,24,183
https://openalex.org/I181547552,Baylor College of Medicine,23,258
https://openalex.org/I22299242,Kyoto University,23,335
https://openalex.org/I165932596,National University of Singapore,23,357
https://openalex.org/I145872427,Radboud University Nijmegen,23,300
https://openalex.org/I180670191,"University of California, San Francisco",23,466
https://openalex.org/I33213144,University of Florida,23,283
https://openalex.org/I133731052,University of Helsinki,23,268
https://openalex.org/I22465464,University of Münster,23,280
https://openalex.org/I170201317,University of Pittsburgh,23,332
https://openalex.org/I135310074,University of Wisconsin–Madison,23,447
https://openalex.org/I193662353,Utrecht University,23,294
https://openalex.org/I78577930,Columbia University,22,349
https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",22,325
https://openalex.org/I78650965,Technische Universität Dresden,22,183
https://openalex.org/I74801974,The University of Tokyo,22,362
https://openalex.org/I84218800,"University of California, Davis",22,334
https://openalex.org/I114457229,University of Geneva,22,252
https://openalex.org/I130238516,University of Minnesota,22,402
https://openalex.org/I138689650,University of Padua,22,179
https://openalex.org/I51556381,University of Virginia,22,222
https://openalex.org/I204465549,Washington University in St. Louis,22,371
https://openalex.org/I21491767,Aix-Marseille Université,21,144
https://openalex.org/I129975664,Albert Einstein College of Medicine,21,239
https://openalex.org/I170897317,Duke University,21,320
https://openalex.org/I114090438,Goethe University Frankfurt,21,211
https://openalex.org/I34352273,Maastricht University,21,128
https://openalex.org/I60134161,Nagoya University,21,256
https://openalex.org/I97018004,Stanford University,21,474
https://openalex.org/I98285908,The University of Osaka,21,273
https://openalex.org/I141945490,University of British Columbia,21,274
https://openalex.org/I124055696,University of Copenhagen,21,348
https://openalex.org/I189158943,University of Milan,21,213
https://openalex.org/I123387679,Uppsala University,21,238
https://openalex.org/I111088046,Boston University,20,273
https://openalex.org/I183935753,King's College London,20,266
https://openalex.org/I5023651,McGill University,20,350
https://openalex.org/I111979921,Northwestern University,20,297
https://openalex.org/I130769515,Pennsylvania State University,20,245
https://openalex.org/I166337079,Queen Mary University of London,20,162
https://openalex.org/I861853513,Sapienza University of Rome,20,141
https://openalex.org/I39804081,Sorbonne Université,20,257
https://openalex.org/I16391192,Tel Aviv University,20,276
https://openalex.org/I17974374,Universidade de São Paulo,20,389
https://openalex.org/I154425047,University of Alberta,20,220
https://openalex.org/I95457486,"University of California, Berkeley",20,318
https://openalex.org/I161318765,"University of California, Los Angeles",20,296
https://openalex.org/I40347166,University of Chicago,20,240
https://openalex.org/I180923762,University of Cologne,20,230
https://openalex.org/I98677209,University of Edinburgh,20,198
https://openalex.org/I157725225,University of Illinois Urbana-Champaign,20,275
https://openalex.org/I71267560,University of Naples Federico II,20,137
https://openalex.org/I142263535,University of Nottingham,20,134
https://openalex.org/I159176309,Universität Hamburg,20,258
https://openalex.org/I277688954,Université Paris-Saclay,20,141
https://openalex.org/I15057530,Université de Bordeaux,20,181
https://openalex.org/I200719446,Vanderbilt University,20,240
https://openalex.org/I99464096,KU Leuven,19,201
https://openalex.org/I187531555,Lund University,19,152
https://openalex.org/I63966007,Massachusetts Institute of Technology,19,243
https://openalex.org/I157773358,Sun Yat-sen University,19,276
https://openalex.org/I174306211,Technion – Israel Institute of Technology,19,160
https://openalex.org/I165779595,The University of Melbourne,19,209
https://openalex.org/I201537933,Tohoku University,19,268
https://openalex.org/I126744593,"University of Maryland, Baltimore",19,162
https://openalex.org/I202697423,University of Zurich,19,218
https://openalex.org/I201841394,Université Côte d'Azur,19,92
https://openalex.org/I19894307,Université de Montpellier,19,141
https://openalex.org/I68947357,Université de Strasbourg,19,137
https://openalex.org/I58956616,Case Western Reserve University,18,176
https://openalex.org/I107672454,Dartmouth College,18,118
https://openalex.org/I150468666,Emory University,18,187
https://openalex.org/I34002243,Mae Fah Luang University,18,205
https://openalex.org/I57206974,New York University,18,240
https://openalex.org/I137902535,North Carolina State University,18,139
https://openalex.org/I52357470,The Ohio State University,18,283
https://openalex.org/I121934306,Tufts University,18,136
https://openalex.org/I138006243,University of Arizona,18,241
https://openalex.org/I36234482,University of Bristol,18,168
https://openalex.org/I51713134,University of Colorado Anschutz Medical Campus,18,96
https://openalex.org/I177639307,University of Dundee,18,167
https://openalex.org/I74656192,University of Göttingen,18,251
