institution_id,institution_name,h2,author_count
https://openalex.org/I17747738,Beijing University of Chinese Medicine,22,1101
https://openalex.org/I131434179,Nanjing University of Chinese Medicine,22,721
https://openalex.org/I12411659,Tianjin University of Traditional Chinese Medicine,22,565
https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,21,1064
https://openalex.org/I117532281,Guangzhou University of Chinese Medicine,21,755
https://openalex.org/I35928602,Kyung Hee University,21,471
https://openalex.org/I136199984,Harvard University,20,182
https://openalex.org/I114539943,Zhejiang Chinese Medical University,20,483
https://openalex.org/I111381250,Hebei Medical University,18,179
https://openalex.org/I108688024,Qingdao University,18,165
https://openalex.org/I4210098460,Shanghai University of Traditional Chinese Medicine,18,829
https://openalex.org/I157773358,Sun Yat-sen University,18,311
https://openalex.org/I53411278,Chengdu University of Traditional Chinese Medicine,17,553
https://openalex.org/I103890011,Shenyang Pharmaceutical University,17,180
https://openalex.org/I124055696,University of Copenhagen,17,151
https://openalex.org/I23923803,University of Exeter,17,73
https://openalex.org/I139660479,Central South University,16,226
https://openalex.org/I184693016,China Medical University,16,207
https://openalex.org/I141568987,Hong Kong Baptist University,16,138
https://openalex.org/I17974374,Universidade de São Paulo,16,245
https://openalex.org/I183519381,Capital Medical University,15,266
https://openalex.org/I177725633,Chinese University of Hong Kong,15,243
https://openalex.org/I129708740,Fujian Medical University,15,137
https://openalex.org/I155976169,Witten/Herdecke University,15,63
https://openalex.org/I118783713,Fujian University of Traditional Chinese Medicine,14,235
https://openalex.org/I10899854,Jiangxi University of Traditional Chinese Medicine,14,300
https://openalex.org/I4921948,Pusan National University,14,147
https://openalex.org/I24185976,Sichuan University,14,242
https://openalex.org/I138006243,University of Arizona,14,95
https://openalex.org/I223532165,University of Utah,14,71
https://openalex.org/I14992734,Hunan University of Traditional Chinese Medicine,13,300
https://openalex.org/I111599522,Jiangnan University,13,66
https://openalex.org/I189590672,Kansas State University,13,51
https://openalex.org/I165560825,Mashhad University of Medical Sciences,13,228
https://openalex.org/I148366613,National Yang Ming Chiao Tung University,13,132
https://openalex.org/I20231570,Peking University,13,217
https://openalex.org/I154099455,Shandong University,13,100
https://openalex.org/I134738993,Shandong University of Traditional Chinese Medicine,13,322
