institution_id,institution_name,h2,author_count
https://openalex.org/I136199984,Harvard University,31,505
https://openalex.org/I170201317,University of Pittsburgh,27,373
https://openalex.org/I40120149,University of Oxford,25,270
https://openalex.org/I111979921,Northwestern University,24,241
https://openalex.org/I145872427,Radboud University Nijmegen,24,345
https://openalex.org/I161318765,"University of California, Los Angeles",24,309
https://openalex.org/I27837315,University of Michigan,24,332
https://openalex.org/I183935753,King's College London,23,243
https://openalex.org/I86519309,The University of Texas at Austin,23,271
https://openalex.org/I169381384,University of Groningen,23,245
https://openalex.org/I130769515,Pennsylvania State University,22,328
https://openalex.org/I95457486,"University of California, Berkeley",22,183
https://openalex.org/I97018004,Stanford University,21,345
https://openalex.org/I185261750,University of Toronto,21,363
https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",20,193
https://openalex.org/I129604602,The University of Sydney,20,224
https://openalex.org/I138006243,University of Arizona,20,281
https://openalex.org/I140172145,University of Connecticut,20,148
https://openalex.org/I1174212,University of Southern California,20,210
https://openalex.org/I32971472,Yale University,20,240
https://openalex.org/I78577930,Columbia University,19,290
https://openalex.org/I145311948,Johns Hopkins University,19,228
https://openalex.org/I34352273,Maastricht University,19,184
https://openalex.org/I45129253,University College London,19,355
https://openalex.org/I130238516,University of Minnesota,19,253
https://openalex.org/I201448701,University of Washington,19,284
https://openalex.org/I135310074,University of Wisconsin–Madison,19,247
https://openalex.org/I123387679,Uppsala University,19,151
https://openalex.org/I121797337,Leiden University,18,196
https://openalex.org/I161593684,Stockholm University,18,138
https://openalex.org/I52357470,The Ohio State University,18,332
https://openalex.org/I887064364,University of Amsterdam,18,243
https://openalex.org/I36258959,University of California San Diego,18,234
https://openalex.org/I184942183,University of Oslo,18,145
https://openalex.org/I51556381,University of Virginia,18,174
https://openalex.org/I204730241,Université Paris Cité,18,199
https://openalex.org/I111088046,Boston University,17,192
https://openalex.org/I177725633,Chinese University of Hong Kong,17,234
https://openalex.org/I5023651,McGill University,17,215
https://openalex.org/I57206974,New York University,17,216
https://openalex.org/I31746571,UNSW Sydney,17,185
https://openalex.org/I141945490,University of British Columbia,17,267
https://openalex.org/I180670191,"University of California, San Francisco",17,129
https://openalex.org/I188538660,University of Colorado Boulder,17,151
https://openalex.org/I133731052,University of Helsinki,17,199
https://openalex.org/I865915315,Vrije Universiteit Amsterdam,17,210
https://openalex.org/I205783295,Cornell University,16,187
https://openalex.org/I150468666,Emory University,16,188
https://openalex.org/I169541294,Flinders University,16,138
https://openalex.org/I28166907,Karolinska Institutet,16,142
https://openalex.org/I8204097,Ludwig-Maximilians-Universität München,16,179
https://openalex.org/I63966007,Massachusetts Institute of Technology,16,111
https://openalex.org/I56590836,Monash University,16,214
https://openalex.org/I165932596,National University of Singapore,16,186
https://openalex.org/I193700539,Tilburg University,16,108
https://openalex.org/I241749,University of Cambridge,16,191
https://openalex.org/I40347166,University of Chicago,16,169
https://openalex.org/I114457229,University of Geneva,16,102
https://openalex.org/I114027177,University of North Carolina at Chapel Hill,16,180
https://openalex.org/I193662353,Utrecht University,16,217
https://openalex.org/I204465549,Washington University in St. Louis,16,155
https://openalex.org/I55732556,Arizona State University,15,202
https://openalex.org/I39343248,Humboldt-Universität zu Berlin,15,168
https://openalex.org/I187531555,Lund University,15,107
https://openalex.org/I165779595,The University of Melbourne,15,206
https://openalex.org/I177877127,The University of Western Australia,15,125
https://openalex.org/I9360294,University of Bologna,15,86
https://openalex.org/I39422238,University of Illinois Chicago,15,122
https://openalex.org/I146416000,University of Kansas,15,139
https://openalex.org/I79576946,University of Pennsylvania,15,255
https://openalex.org/I129774422,University of Vienna,15,148
https://openalex.org/I100532134,Université Claude Bernard Lyon 1,15,111
https://openalex.org/I200719446,Vanderbilt University,15,128
https://openalex.org/I125749732,Western University,15,217
https://openalex.org/I21491767,Aix-Marseille Université,14,105
https://openalex.org/I181547552,Baylor College of Medicine,14,86
https://openalex.org/I99464096,KU Leuven,14,173
https://openalex.org/I204778367,Norwegian University of Science and Technology,14,119
https://openalex.org/I16391192,Tel Aviv University,14,162
https://openalex.org/I165143802,The University of Queensland,14,178
https://openalex.org/I17974374,Universidade de São Paulo,14,232
https://openalex.org/I63190737,"University at Buffalo, State University of New York",14,148
https://openalex.org/I1850255,University of Basel,14,92
https://openalex.org/I84218800,"University of California, Davis",14,131
https://openalex.org/I126307644,University of Iowa,14,202
https://openalex.org/I145608581,University of Miami,14,131
https://openalex.org/I223532165,University of Utah,14,177
https://openalex.org/I202697423,University of Zurich,14,175
https://openalex.org/I132053463,Université Libre de Bruxelles,14,77
https://openalex.org/I184840846,Virginia Commonwealth University,14,125
https://openalex.org/I27804330,Brown University,13,78
https://openalex.org/I36788626,California University of Pennsylvania,13,87
https://openalex.org/I58956616,Case Western Reserve University,13,102
https://openalex.org/I170897317,Duke University,13,150
https://openalex.org/I913958620,Erasmus University Rotterdam,13,82
https://openalex.org/I103163165,Florida State University,13,158
https://openalex.org/I219193219,Purdue University West Lafayette,13,158
https://openalex.org/I173304897,Universidad de Granada,13,130
https://openalex.org/I154425047,University of Alberta,13,163
https://openalex.org/I204250578,"University of California, Irvine",13,120
https://openalex.org/I154570441,"University of California, Santa Barbara",13,93
