institution_id,institution_name,h2,author_count
https://openalex.org/I84884186,Newcastle University,6,12
https://openalex.org/I4584351,A.T. Still University,5,11
https://openalex.org/I2898155008,Academic Center for Dentistry Amsterdam,5,25
https://openalex.org/I162051807,Carol Davila University of Medicine and Pharmacy,5,14
https://openalex.org/I136199984,Harvard University,5,25
https://openalex.org/I55769427,Indiana University – Purdue University Indianapolis,5,16
https://openalex.org/I185163786,King Abdulaziz University,5,67
https://openalex.org/I165951966,The University of Texas at San Antonio Health Science Center,5,29
https://openalex.org/I17974374,Universidade de São Paulo,5,87
https://openalex.org/I39422238,University of Illinois Chicago,5,17
https://openalex.org/I114972647,University of Jordan,5,25
https://openalex.org/I27837315,University of Michigan,5,34
https://openalex.org/I4210130008,Government Dental College and Hospital,4,42
https://openalex.org/I304011483,Grigore T. Popa University of Medicine and Pharmacy,4,28
https://openalex.org/I223822909,Heidelberg University,4,12
https://openalex.org/I76571253,Imam Abdulrahman Bin Faisal University,4,41
https://openalex.org/I99693012,Kamineni Institute of Dental Sciences,4,98
https://openalex.org/I1312995270,Karachi Medical and Dental College,4,54
https://openalex.org/I183935753,King's College London,4,33
https://openalex.org/I164861460,Manipal Academy of Higher Education,4,38
https://openalex.org/I5023651,McGill University,4,9
https://openalex.org/I166182418,Medical University of Silesia,4,12
https://openalex.org/I20231570,Peking University,4,14
https://openalex.org/I156216236,Qassim University,4,33
https://openalex.org/I60342839,Qatar University,4,13
https://openalex.org/I85461943,Saveetha University,4,99
https://openalex.org/I24185976,Sichuan University,4,19
https://openalex.org/I20107917,Sri Ramachandra Institute of Higher Education and Research,4,19
https://openalex.org/I23075662,Taibah University,4,30
https://openalex.org/I70640408,Tehran University of Medical Sciences,4,38
https://openalex.org/I165143802,The University of Queensland,4,13
https://openalex.org/I919571938,The University of Texas Health Science Center at Houston,4,23
https://openalex.org/I121934306,Tufts University,4,19
https://openalex.org/I199693650,Umm al-Qura University,4,29
https://openalex.org/I169248161,Universidade Federal de Pelotas,4,27
https://openalex.org/I154425047,University of Alberta,4,22
https://openalex.org/I141945490,University of British Columbia,4,16
https://openalex.org/I71792333,University of Detroit Mercy,4,4
https://openalex.org/I143302722,University of Kentucky,4,12
https://openalex.org/I197610006,University of Lagos,4,18
https://openalex.org/I142204992,University of Lahore,4,16
https://openalex.org/I126744593,"University of Maryland, Baltimore",4,25
https://openalex.org/I114027177,University of North Carolina at Chapel Hill,4,22
https://openalex.org/I111199411,University of Peradeniya,4,10
https://openalex.org/I1174212,University of Southern California,4,16
https://openalex.org/I129604602,University of Sydney,4,17
https://openalex.org/I119942576,University of the Pacific,4,15
https://openalex.org/I79510175,Cardiff University,4,18
https://openalex.org/I115253235,Federico Villarreal National University,4,15
https://openalex.org/I8204097,Ludwig-Maximilians-Universität München,3,11
https://openalex.org/I195631090,Majmaah University,3,16
https://openalex.org/I165560825,Mashhad University of Medical Sciences,3,18
https://openalex.org/I153297377,Medical University of South Carolina,3,8
https://openalex.org/I128902783,Midwestern University,3,12
https://openalex.org/I4210155929,National University of Medical Sciences,3,16
https://openalex.org/I165932596,National University of Singapore,3,10
https://openalex.org/I200777214,National and Kapodistrian University of Athens,3,16
https://openalex.org/I57206974,New York University,3,29
https://openalex.org/I98285908,Osaka University,3,8
https://openalex.org/I4210092865,Oxford Dental College and Hospital,3,14
https://openalex.org/I4210144829,People’s University,3,14
https://openalex.org/I162148367,Pontificia Universidad Católica de Chile,3,8
https://openalex.org/I142608572,Prince Sattam Bin Abdulaziz University,3,37
https://openalex.org/I106778892,Princess Nourah bint Abdulrahman University,3,18
https://openalex.org/I166337079,Queen Mary University of London,3,11
