institution_id,institution_name,h2,author_count
https://openalex.org/I149213910,University of Antwerp,96,2292
https://openalex.org/I277688954,Université Paris-Saclay,87,3812
https://openalex.org/I114457229,University of Geneva,80,1832
https://openalex.org/I5681781,The University of Adelaide,79,7880
https://openalex.org/I135140700,University of Bonn,79,3348
https://openalex.org/I16097986,Universitat de València,78,1888
https://openalex.org/I161046081,University of Freiburg,78,2292
https://openalex.org/I197323543,Johannes Gutenberg University Mainz,75,3615
https://openalex.org/I223822909,Heidelberg University,74,3138
https://openalex.org/I146655781,University of Liverpool,74,2356
https://openalex.org/I126520041,University of Science and Technology of China,72,9398
https://openalex.org/I204730241,Université Paris Cité,71,2581
https://openalex.org/I9360294,University of Bologna,70,1776
https://openalex.org/I159176309,Universität Hamburg,70,3029
https://openalex.org/I102335020,Karlsruhe Institute of Technology,69,4166
https://openalex.org/I161593684,Stockholm University,69,1332
https://openalex.org/I135310074,University of Wisconsin–Madison,69,4658
https://openalex.org/I887968799,RWTH Aachen University,68,3972
https://openalex.org/I28407311,University of Manchester,67,2285
https://openalex.org/I138689650,University of Padua,67,2356
https://openalex.org/I35440088,ETH Zurich,66,3532
https://openalex.org/I45129253,University College London,66,1421
https://openalex.org/I40120149,University of Oxford,66,2847
https://openalex.org/I108290504,University of Pisa,66,1513
https://openalex.org/I142476485,École Polytechnique,66,2239
https://openalex.org/I21491767,Aix-Marseille Université,65,1638
https://openalex.org/I122411786,California Institute of Technology,65,2465
https://openalex.org/I167360494,University of Wuppertal,65,1709
https://openalex.org/I149700789,Augustana University,64,852
https://openalex.org/I124055696,University of Copenhagen,64,1051
https://openalex.org/I126596746,Jagiellonian University,63,1045
https://openalex.org/I166337079,Queen Mary University of London,63,1236
https://openalex.org/I200332995,TU Dortmund University,63,1654
https://openalex.org/I185103710,"University of California, Santa Cruz",63,1371
https://openalex.org/I202697423,University of Zurich,63,2035
https://openalex.org/I63966007,Massachusetts Institute of Technology,62,5028
https://openalex.org/I861853513,Sapienza University of Rome,62,1394
https://openalex.org/I74801974,The University of Tokyo,62,2803
https://openalex.org/I161318765,"University of California, Los Angeles",61,2379
https://openalex.org/I241749,University of Cambridge,61,1838
https://openalex.org/I123387679,Uppsala University,61,1825
https://openalex.org/I47508984,Imperial College London,60,3867
https://openalex.org/I79619799,University of Birmingham,60,1708
https://openalex.org/I44504214,Czech Technical University in Prague,59,1481
https://openalex.org/I103163165,Florida State University,59,1815
https://openalex.org/I8204097,Ludwig-Maximilians-Universität München,59,1980
https://openalex.org/I102502594,Northern Illinois University,59,1039
https://openalex.org/I20089843,Princeton University,59,3304
https://openalex.org/I36234482,University of Bristol,59,1770
https://openalex.org/I27837315,University of Michigan,59,2298
https://openalex.org/I185261750,University of Toronto,59,1568
https://openalex.org/I198244214,Université Clermont Auvergne,59,1309
https://openalex.org/I114090438,Goethe University Frankfurt,58,1976
https://openalex.org/I184942183,University of Oslo,58,1316
https://openalex.org/I21250087,Charles University,57,1161
https://openalex.org/I39343248,Humboldt-Universität zu Berlin,57,967
https://openalex.org/I174458059,National Technical University of Athens,57,871
https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",57,2589
https://openalex.org/I887064364,University of Amsterdam,57,1507
https://openalex.org/I204250578,"University of California, Irvine",57,1285
https://openalex.org/I107639228,University of Notre Dame,57,2687
https://openalex.org/I102197404,Université Paris-Sud,57,2095
https://openalex.org/I187531555,Lund University,56,1268
https://openalex.org/I52357470,The Ohio State University,56,2628
https://openalex.org/I122140584,Universidade Federal do Rio de Janeiro,56,1332
https://openalex.org/I2803209242,University of California System,56,709
https://openalex.org/I103635307,"University of California, Riverside",56,2285
https://openalex.org/I33213144,University of Florida,56,2628
https://openalex.org/I66946132,"University of Maryland, College Park",56,2550
https://openalex.org/I70900168,Université Savoie Mont Blanc,56,1030
https://openalex.org/I111088046,Boston University,55,1829
https://openalex.org/I205783295,Cornell University,55,2181
https://openalex.org/I2802000487,Imperial Valley College,55,545
https://openalex.org/I4432739,University of Bergen,55,993
https://openalex.org/I95457486,"University of California, Berkeley",55,2113
https://openalex.org/I32971472,Yale University,55,1664
https://openalex.org/I58064216,Bellevue University,54,183
https://openalex.org/I87216513,Michigan State University,54,1811
https://openalex.org/I200777214,National and Kapodistrian University of Athens,54,1170
https://openalex.org/I184558857,Royal Holloway University of London,54,915
https://openalex.org/I97018004,Stanford University,54,2389
https://openalex.org/I59553526,Stony Brook University,54,1299
https://openalex.org/I13134134,Universidad de Cantabria,54,1093
https://openalex.org/I118564535,University of Bern,54,844
https://openalex.org/I7882870,University of Glasgow,54,1438
https://openalex.org/I162608824,University of Sussex,54,776
https://openalex.org/I173911158,Iowa State University,53,1120
https://openalex.org/I219193219,Purdue University West Lafayette,53,3125
https://openalex.org/I95674353,UCLouvain,53,1307
https://openalex.org/I39422238,University of Illinois Chicago,53,1909
https://openalex.org/I126307644,University of Iowa,53,1703
https://openalex.org/I189158943,University of Milan,53,872
https://openalex.org/I100532134,Université Claude Bernard Lyon 1,53,2075
https://openalex.org/I53964585,Weizmann Institute of Science,53,1115
https://openalex.org/I5124864,École Polytechnique Fédérale de Lausanne,53,1455
https://openalex.org/I16391192,Tel Aviv University,52,1204
https://openalex.org/I138006243,University of Arizona,52,890
https://openalex.org/I98677209,University of Edinburgh,52,1230
https://openalex.org/I201448701,University of Washington,52,1347
https://openalex.org/I132053463,Université Libre de Bruxelles,52,1321
https://openalex.org/I78577930,Columbia University,51,1529
