institution_id,institution_name,h2,author_count
https://openalex.org/I204553293,"China University of Petroleum, Beijing",26,1923
https://openalex.org/I4210162190,"China University of Petroleum, East China",26,969
https://openalex.org/I86519309,The University of Texas at Austin,24,908
https://openalex.org/I25757504,China University of Mining and Technology,23,887
https://openalex.org/I204778367,Norwegian University of Science and Technology,23,763
https://openalex.org/I165745306,Southwest Petroleum University,23,1341
https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals,22,384
https://openalex.org/I91045830,Texas A&M University,22,949
https://openalex.org/I168635309,University of Calgary,22,621
https://openalex.org/I32062511,Heriot-Watt University,21,290
https://openalex.org/I98358874,Delft University of Technology,20,610
https://openalex.org/I196699116,Wuhan University of Technology,20,536
https://openalex.org/I151727225,Harbin Engineering University,19,629
https://openalex.org/I183067930,Shanghai Jiao Tong University,19,386
https://openalex.org/I154425047,University of Alberta,19,517
https://openalex.org/I92008406,University of Stavanger,19,372
https://openalex.org/I158842170,Chongqing University,18,275
https://openalex.org/I97018004,Stanford University,18,428
https://openalex.org/I87208437,University of Tulsa,18,481
https://openalex.org/I110440473,Xi'an University of Science and Technology,18,304
https://openalex.org/I96673099,Technical University of Denmark,17,231
https://openalex.org/I203899302,Universiti Teknologi Petronas,17,378
https://openalex.org/I141596103,University of Lisbon,17,153
https://openalex.org/I126520041,University of Science and Technology of China,17,196
https://openalex.org/I118347636,Australian National University,16,91
https://openalex.org/I125839683,Beijing Institute of Technology,16,166
https://openalex.org/I3125743391,China University of Geosciences (Beijing),16,338
https://openalex.org/I47508984,Imperial College London,16,347
https://openalex.org/I176601375,Khalifa University of Science and Technology,16,151
https://openalex.org/I121820613,Louisiana State University,16,309
https://openalex.org/I17145004,Northwestern Polytechnical University,16,252
https://openalex.org/I130769515,Pennsylvania State University,16,401
https://openalex.org/I154127411,Petroleum University of Technology,16,314
https://openalex.org/I154099455,Shandong University,16,184
https://openalex.org/I8692664,University of Oklahoma,16,475
https://openalex.org/I181647926,University of Strathclyde,16,198
https://openalex.org/I12834331,University of Wyoming,16,147
https://openalex.org/I158248296,Amirkabir University of Technology,15,296
https://openalex.org/I139660479,Central South University,15,263
https://openalex.org/I167576493,Colorado School of Mines,15,368
https://openalex.org/I27357992,Dalian University of Technology,15,319
https://openalex.org/I204983213,Harbin Institute of Technology,15,236
https://openalex.org/I163340411,Hohai University,15,252
https://openalex.org/I115592961,Jiangsu University,15,101
https://openalex.org/I10660446,Kunming University of Science and Technology,15,101
https://openalex.org/I63966007,Massachusetts Institute of Technology,15,354
https://openalex.org/I162868743,Tianjin University,15,309
https://openalex.org/I116953780,Tongji University,15,235
https://openalex.org/I31746571,UNSW Sydney,15,188
https://openalex.org/I4432739,University of Bergen,15,198
https://openalex.org/I44461941,University of Houston,15,320
https://openalex.org/I43439940,University of Southampton,15,142
https://openalex.org/I129801699,University of Tasmania,15,132
https://openalex.org/I181903023,Xi'an Shiyou University,15,391
https://openalex.org/I184681353,Anhui University of Science and Technology,14,159
https://openalex.org/I130541836,Beijing Institute of Petrochemical Technology,14,76
https://openalex.org/I170897317,Duke University,14,84
https://openalex.org/I176808543,Liaoning Technical University,14,189
https://openalex.org/I53276908,Marymount University,14,402
https://openalex.org/I165932596,National University of Singapore,14,167
https://openalex.org/I207123951,New Mexico Institute of Mining and Technology,14,205
https://openalex.org/I921716337,Northeast Petroleum University,14,597
https://openalex.org/I143413998,Qingdao University of Science and Technology,14,99
https://openalex.org/I74775410,Rice University,14,113
https://openalex.org/I80143920,Shandong University of Science and Technology,14,282
https://openalex.org/I12315562,Texas Tech University,14,159
https://openalex.org/I165143802,The University of Queensland,14,146
https://openalex.org/I182534213,Universidade do Porto,14,95
https://openalex.org/I45129253,University College London,14,147
https://openalex.org/I23946033,University of Tehran,14,321
https://openalex.org/I177739611,Yangtze University,14,491
https://openalex.org/I66862912,Chalmers University of Technology,13,107
https://openalex.org/I139024713,Guangdong University of Technology,13,65
https://openalex.org/I47720641,Huazhong University of Science and Technology,13,229
https://openalex.org/I189109744,Indian Institute of Technology Dhanbad,13,102
https://openalex.org/I130438778,Memorial University of Newfoundland,13,210
https://openalex.org/I20382870,Missouri University of Science and Technology,13,182
https://openalex.org/I174458059,National Technical University of Athens,13,201
https://openalex.org/I109935558,Ningbo University,13,112
https://openalex.org/I153473198,North China Electric Power University,13,120
https://openalex.org/I177477856,Politecnico di Torino,13,130
https://openalex.org/I108688024,Qingdao University,13,80
https://openalex.org/I157773358,Sun Yat-sen University,13,184
https://openalex.org/I177877127,The University of Western Australia,13,131
https://openalex.org/I122140584,Universidade Federal do Rio de Janeiro,13,505
https://openalex.org/I141945490,University of British Columbia,13,158
https://openalex.org/I95457486,"University of California, Berkeley",13,206
https://openalex.org/I98677209,University of Edinburgh,13,126
https://openalex.org/I150229711,University of Electronic Science and Technology of China,13,113
https://openalex.org/I146416000,University of Kansas,13,187
https://openalex.org/I130828816,University of Leeds,13,96
https://openalex.org/I28407311,University of Manchester,13,140
https://openalex.org/I27837315,University of Michigan,13,204
https://openalex.org/I114027177,University of North Carolina at Chapel Hill,13,103
https://openalex.org/I1174212,University of Southern California,13,217
https://openalex.org/I223532165,University of Utah,13,126
https://openalex.org/I201448701,University of Washington,13,149
https://openalex.org/I151746483,University of Waterloo,13,181
https://openalex.org/I193662353,Utrecht University,13,95
https://openalex.org/I37461747,Wuhan University,13,239
https://openalex.org/I31847773,Zhejiang Ocean University,13,200
