institution_id,institution_name,h2,author_count
https://openalex.org/I22299242,Kyoto University,37,2371
https://openalex.org/I126520041,University of Science and Technology of China,34,810
https://openalex.org/I9360294,University of Bologna,33,610
https://openalex.org/I4210165038,University of Chinese Academy of Sciences,33,960
https://openalex.org/I205349734,Hokkaido University,32,1192
https://openalex.org/I24185976,Sichuan University,32,1083
https://openalex.org/I74801974,The University of Tokyo,32,1257
https://openalex.org/I201537933,Tohoku University,32,1663
https://openalex.org/I99364266,Academy of Scientific and Innovative Research,31,892
https://openalex.org/I98285908,The University of Osaka,31,2253
https://openalex.org/I100532134,Université Claude Bernard Lyon 1,31,989
https://openalex.org/I135598925,Kyushu University,30,1268
https://openalex.org/I861853513,Sapienza University of Rome,30,503
https://openalex.org/I157773358,Sun Yat-sen University,30,770
https://openalex.org/I189158943,University of Milan,30,695
https://openalex.org/I277688954,Université Paris-Saclay,30,354
https://openalex.org/I111599522,Jiangnan University,29,408
https://openalex.org/I205237279,Nankai University,29,999
https://openalex.org/I183067930,Shanghai Jiao Tong University,29,505
https://openalex.org/I114531698,Tokyo Institute of Technology,29,1555
https://openalex.org/I27483092,University of Perugia,29,343
https://openalex.org/I169108374,University of the Basque Country,29,436
https://openalex.org/I143593769,East China University of Science and Technology,28,941
https://openalex.org/I63966007,Massachusetts Institute of Technology,28,740
https://openalex.org/I39804081,Sorbonne Université,28,603
https://openalex.org/I124601658,University of Parma,28,335
https://openalex.org/I68947357,Université de Strasbourg,28,432
https://openalex.org/I38877650,Zhengzhou University,28,750
https://openalex.org/I139660479,Central South University,27,322
https://openalex.org/I136199984,Harvard University,27,649
https://openalex.org/I134687103,Nanjing Tech University,27,703
https://openalex.org/I20231570,Peking University,27,717
https://openalex.org/I154099455,Shandong University,27,502
https://openalex.org/I200284239,Universidade de Santiago de Compostela,27,433
https://openalex.org/I5561750,University of Bari Aldo Moro,27,270
https://openalex.org/I45084792,University of Florence,27,342
https://openalex.org/I40120149,University of Oxford,27,892
https://openalex.org/I900890020,University of Palermo,27,222
https://openalex.org/I15057530,Université de Bordeaux,27,558
https://openalex.org/I159385669,Chiba University,26,902
https://openalex.org/I35440088,ETH Zurich,26,753
https://openalex.org/I115592961,Jiangsu University,26,245
https://openalex.org/I10091056,Kanazawa University,26,755
https://openalex.org/I187531555,Lund University,26,379
https://openalex.org/I130769515,Pennsylvania State University,26,645
https://openalex.org/I108688024,Qingdao University,26,254
https://openalex.org/I162868743,Tianjin University,26,525
https://openalex.org/I36234482,University of Bristol,26,651
https://openalex.org/I161318765,"University of California, Los Angeles",26,574
https://openalex.org/I28407311,University of Manchester,26,986
https://openalex.org/I138689650,University of Padua,26,458
https://openalex.org/I135310074,University of Wisconsin–Madison,26,786
https://openalex.org/I21491767,Aix-Marseille Université,25,473
https://openalex.org/I145487455,Cairo University,25,1067
https://openalex.org/I161716053,China Pharmaceutical University,25,478
https://openalex.org/I205783295,Cornell University,25,570
https://openalex.org/I24943067,Fudan University,25,583
https://openalex.org/I163151501,Hangzhou Normal University,25,344
https://openalex.org/I203951103,Keio University,25,720
https://openalex.org/I10660446,Kunming University of Science and Technology,25,253
https://openalex.org/I76214153,Lanzhou University,25,764
https://openalex.org/I60134161,Nagoya University,25,1008
https://openalex.org/I219193219,Purdue University West Lafayette,25,729
https://openalex.org/I887968799,RWTH Aachen University,25,755
https://openalex.org/I113940042,Shanghai University,25,363
https://openalex.org/I52357470,The Ohio State University,25,941
https://openalex.org/I129604602,The University of Sydney,25,407
https://openalex.org/I161296585,Tokyo University of Science,25,1194
https://openalex.org/I116953780,Tongji University,25,291
https://openalex.org/I71999127,Universitat de Barcelona,25,604
https://openalex.org/I241749,University of Cambridge,25,731
https://openalex.org/I108290504,University of Pisa,25,430
https://openalex.org/I131729948,University of Salerno,25,223
https://openalex.org/I204730241,Université Paris Cité,25,590
https://openalex.org/I125839683,Beijing Institute of Technology,24,396
https://openalex.org/I122411786,California Institute of Technology,24,449
https://openalex.org/I21250087,Charles University,24,455
https://openalex.org/I139024713,Guangdong University of Technology,24,242
https://openalex.org/I223822909,Heidelberg University,24,1184
https://openalex.org/I113306721,Hiroshima University,24,668
https://openalex.org/I19880235,Lomonosov Moscow State University,24,2164
https://openalex.org/I109935558,Ningbo University,24,217
https://openalex.org/I62916508,Technical University of Munich,24,774
https://openalex.org/I121748325,Universidad Complutense de Madrid,24,591
https://openalex.org/I45129253,University College London,24,439
https://openalex.org/I45204951,University of Calabria,24,128
https://openalex.org/I33213144,University of Florida,24,731
https://openalex.org/I114027177,University of North Carolina at Chapel Hill,24,732
https://openalex.org/I184942183,University of Oslo,24,271
https://openalex.org/I153718931,University of Ottawa,24,469
https://openalex.org/I185261750,University of Toronto,24,805
https://openalex.org/I25974101,University of Würzburg,24,1018
https://openalex.org/I134560555,Université Toulouse III - Paul Sabatier,24,744
https://openalex.org/I2800745255,Université de Haute-Alsace,24,274
https://openalex.org/I2279609970,Université de Lille,24,204
https://openalex.org/I37461747,Wuhan University,24,463
https://openalex.org/I55712492,Zhejiang University of Technology,24,840
https://openalex.org/I11935315,École Nationale Supérieure de Chimie de Montpellier,24,461
https://openalex.org/I149758196,Chimie ParisTech,23,626
https://openalex.org/I150468666,Emory University,23,404
https://openalex.org/I32597200,Ghent University,23,622
