institution_id,institution_name,h2,author_count
https://openalex.org/I241749,University of Cambridge,14,97
https://openalex.org/I40120149,University of Oxford,14,144
https://openalex.org/I32971472,Yale University,13,78
https://openalex.org/I170897317,Duke University,12,74
https://openalex.org/I79619799,University of Birmingham,12,68
https://openalex.org/I150468666,Emory University,11,91
https://openalex.org/I202344744,Episcopal Divinity School,11,66
https://openalex.org/I26092322,Stellenbosch University,11,210
https://openalex.org/I107639228,University of Notre Dame,11,86
https://openalex.org/I69552723,University of Pretoria,11,320
https://openalex.org/I185261750,University of Toronto,11,115
https://openalex.org/I190082696,Durham University,10,76
https://openalex.org/I136199984,Harvard University,10,41
https://openalex.org/I197251160,Hebrew University of Jerusalem,10,75
https://openalex.org/I98677209,University of Edinburgh,10,65
https://openalex.org/I103531236,Boston College,9,44
https://openalex.org/I223822909,Heidelberg University,9,63
https://openalex.org/I121797337,Leiden University,9,41
https://openalex.org/I27765905,North-West University,9,246
https://openalex.org/I159308992,Princeton Theological Seminary,9,90
https://openalex.org/I178169726,Southern Methodist University,9,34
https://openalex.org/I94444458,Union Theological Seminary,9,51
https://openalex.org/I40347166,University of Chicago,9,79
https://openalex.org/I2799746221,University of Divinity,9,83
https://openalex.org/I165390105,University of South Africa,9,200
https://openalex.org/I157394403,Baylor University,8,72
https://openalex.org/I183935753,King's College London,8,42
https://openalex.org/I20089843,Princeton University,8,35
https://openalex.org/I195460627,University of Aberdeen,8,49
https://openalex.org/I135140700,University of Bonn,8,68
https://openalex.org/I124055696,University of Copenhagen,8,39
https://openalex.org/I7882870,University of Glasgow,8,42
https://openalex.org/I133731052,University of Helsinki,8,32
https://openalex.org/I130828816,University of Leeds,8,39
https://openalex.org/I28407311,University of Manchester,8,49
https://openalex.org/I27837315,University of Michigan–Ann Arbor,8,38
https://openalex.org/I16835326,University of St Andrews,8,52
https://openalex.org/I8087733,University of Tübingen,8,73
https://openalex.org/I129774422,University of Vienna,8,85
https://openalex.org/I202697423,University of Zurich,8,47
https://openalex.org/I26999989,University of the Free State,8,158
https://openalex.org/I200719446,Vanderbilt University,8,40
https://openalex.org/I15125932,Regent College,7,18
https://openalex.org/I117979880,Rhodes College,7,20
https://openalex.org/I16391192,Tel Aviv University,7,25
https://openalex.org/I128956969,Texas Christian University,7,22
https://openalex.org/I86519309,The University of Texas at Austin,7,26
https://openalex.org/I168959743,University of America,7,26
https://openalex.org/I118564535,University of Bern,7,38
https://openalex.org/I95457486,"University of California, Berkeley",7,31
https://openalex.org/I161318765,"University of California, Los Angeles",7,29
https://openalex.org/I154570441,"University of California, Santa Barbara",7,15
https://openalex.org/I74656192,University of Göttingen,7,44
https://openalex.org/I124357947,University of London,7,36
https://openalex.org/I22465464,University of Münster,7,71
https://openalex.org/I114027177,University of North Carolina at Chapel Hill,7,33
https://openalex.org/I184942183,University of Oslo,7,33
https://openalex.org/I51556381,University of Virginia,7,45
https://openalex.org/I201448701,University of Washington,7,25
https://openalex.org/I135310074,University of Wisconsin–Madison,7,25
https://openalex.org/I159176309,Universität Hamburg,7,53
https://openalex.org/I865915315,Vrije Universiteit Amsterdam,7,46
https://openalex.org/I204337017,Aarhus University,7,37
https://openalex.org/I102298084,Andrews University,7,275
https://openalex.org/I26532503,Asbury Theological Seminary,7,88
https://openalex.org/I111088046,Boston University,7,36
https://openalex.org/I36788626,California University of Pennsylvania,7,23
https://openalex.org/I78577930,Columbia University,7,42
https://openalex.org/I114493937,Creighton University,7,18
https://openalex.org/I204403938,Hebrew Union College - Jewish Institute of Religion,7,31
https://openalex.org/I39343248,Humboldt-Universität zu Berlin,7,40
https://openalex.org/I4210131207,Institut Sains dan Teknologi Terpadu Surabaya,7,387
https://openalex.org/I3129663072,Jakarta Theological Seminary,7,488
https://openalex.org/I55191168,Jewish Theological Seminary,7,20
https://openalex.org/I99464096,KU Leuven,7,75
https://openalex.org/I8204097,Ludwig-Maximilians-Universität München,7,55
https://openalex.org/I98251732,McMaster University,7,27
https://openalex.org/I111979921,Northwestern University,7,20
https://openalex.org/I161103922,Philipps University of Marburg,7,53
https://openalex.org/I118347636,Australian National University,6,21
https://openalex.org/I13955877,Bar-Ilan University,6,42
https://openalex.org/I895819238,Bethel University,6,38
https://openalex.org/I203442698,Catholic Theological Union,6,29
https://openalex.org/I190746918,Church Divinity School of the Pacific,6,21
https://openalex.org/I39660569,Colgate University,6,15
https://openalex.org/I107139065,College of the Holy Cross,6,21
https://openalex.org/I205783295,Cornell University,6,30
https://openalex.org/I2801944697,Evangelical Theological Faculty,6,39
https://openalex.org/I164389053,Fordham University,6,38
https://openalex.org/I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,6,39
https://openalex.org/I184565670,Georgetown University,6,33
https://openalex.org/I197323543,Johannes Gutenberg University Mainz,6,34
https://openalex.org/I145311948,Johns Hopkins University,6,17
https://openalex.org/I187531555,Lund University,6,37
https://openalex.org/I71645499,Luther Seminary,6,24
https://openalex.org/I77901215,"MF Norwegian School of Theology, Religion and Society",6,31
https://openalex.org/I4210149706,New College,6,20
https://openalex.org/I130769515,Pennsylvania State University,6,19
https://openalex.org/I34427333,Protestant Theological University,6,46
https://openalex.org/I145872427,Radboud University Nijmegen,6,36
https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",6,17
