country_code,h3,institution_count
US,24,2480
GB,20,327
AU,17,82
CA,16,189
CN,15,1000
ES,15,118
IT,15,131
DE,14,386
FR,13,268
MY,13,84
NL,13,79
FI,12,42
IN,12,1033
SE,12,38
ID,11,518
TW,11,143
BR,10,396
CH,10,78
GR,10,51
KR,10,263
NO,10,41
PT,10,99
TR,10,200
AE,9,49
BE,9,38
IR,9,277
PK,9,176
PL,9,238
SA,9,51
ZA,9,47
AT,8,75
BD,8,103
DK,8,36
HK,8,13
IE,8,26
IL,8,41
JO,8,27
JP,8,489
NZ,8,29
RO,8,80
TH,8,124
VN,8,118
CL,7,61
CO,7,174
CZ,7,54
EG,7,79
GH,7,55
HU,7,41
MX,7,245
NG,7,146
RU,7,570
SK,7,32
CY,6,29
LK,6,23
LT,6,39
MA,6,64
OM,6,22
RS,6,21
SG,6,32
TN,6,33
AR,5,84
BG,5,43
BH,5,12
EC,5,58
HR,5,35
IQ,5,61
KE,5,59
KW,5,10
KZ,5,66
LB,5,28
LV,5,32
PE,5,86
PH,5,197
PS,5,17
SI,5,38
TZ,5,36
UA,5,204
ZW,5,16
AL,4,26
BA,4,19
CR,4,31
CU,4,25
EE,4,14
ET,4,40
MK,4,14
MO,4,5
NP,4,20
PR,4,24
QA,4,20
UG,4,37
UY,4,9
UZ,4,51
VE,4,41
YE,4,17
ZM,4,13
AZ,3,28
BN,3,4
BW,3,7
CM,3,21
DZ,3,66
FJ,3,3
