country_code,h3,institution_count
CN,28,971
US,28,2184
DE,23,304
IT,23,109
FR,22,241
GB,22,276
JP,21,706
ES,20,102
CA,18,172
IN,18,1023
IR,16,264
KR,16,217
AU,15,66
BR,15,335
EG,15,70
PL,15,139
SA,14,47
NL,13,56
RU,13,503
TR,13,181
SE,11,36
TW,11,123
AT,10,57
BE,10,32
CH,10,59
MA,10,39
MX,10,175
PK,10,149
ZA,10,33
AR,9,66
CZ,9,39
RO,9,60
TH,9,105
FI,8,25
GR,8,42
HU,8,35
IE,8,22
MY,8,65
PT,8,62
UA,8,162
CL,7,50
DK,7,21
DZ,7,62
ID,7,321
IL,7,33
IQ,7,58
JO,7,26
TN,7,30
VN,7,101
BD,6,87
BG,6,36
CO,6,111
HK,6,10
NG,6,133
NO,6,25
NZ,6,20
SK,6,25
AE,5,28
ET,5,34
HR,5,22
KZ,5,54
PR,5,24
PS,5,15
RS,5,18
VE,5,23
AM,4,14
AZ,4,26
BY,4,36
CM,4,11
CU,4,21
CY,4,17
EC,4,40
GE,4,17
GH,4,22
LB,4,16
LK,4,19
LV,4,18
LY,4,13
PH,4,101
SD,4,31
SG,4,27
SI,4,19
SY,4,14
UZ,4,47
AL,3,15
BA,3,14
CI,3,11
EE,3,12
KE,3,33
KH,3,6
KW,3,7
LT,3,15
MD,3,8
MK,3,9
MM,3,22
MO,3,5
NP,3,16
OM,3,18
PE,3,59
QA,3,6
SN,3,8
