country_code,h3,institution_count
US,34,2428
FR,25,292
GB,25,319
CN,24,984
DE,22,281
CA,21,181
IT,21,138
JP,19,701
ES,18,116
AU,17,78
BR,15,325
IN,13,807
KR,13,203
NL,13,57
AR,12,74
PL,12,119
RU,12,531
GR,11,43
TR,11,175
AT,10,58
CL,10,65
MX,10,211
SE,10,36
TW,10,130
ZA,10,35
BE,9,34
CH,9,53
EG,9,64
IR,9,218
MA,9,49
NO,9,33
PT,9,79
CZ,8,38
FI,8,32
HU,8,40
ID,8,383
IL,8,34
NZ,8,23
CO,7,132
IE,7,23
MY,7,66
NG,7,132
TN,7,30
CM,6,14
DK,6,27
DZ,6,65
HK,6,11
PE,6,75
PK,6,126
RO,6,67
TH,6,86
VN,6,100
AE,5,28
BD,5,73
BG,5,36
EC,5,52
GH,5,27
HR,5,23
IQ,5,52
KZ,5,53
PH,5,111
SA,5,44
SK,5,27
UA,5,162
VE,5,28
CR,4,24
CU,4,18
EE,4,11
ET,4,31
GE,4,22
IS,4,7
JO,4,19
LK,4,20
LT,4,18
LV,4,18
MN,4,14
NP,4,12
PR,4,22
RS,4,18
SI,4,25
AL,3,17
AM,3,11
AZ,3,25
BA,3,11
BF,3,5
BN,3,3
BY,3,29
CD,3,18
CI,3,9
CY,3,17
DO,3,15
GT,3,7
JM,3,5
KE,3,27
KG,3,20
KW,3,7
LB,3,16
LY,3,12
ME,3,5
MK,3,8
MM,3,34
