country_code,h3,institution_count
US,26,2398
GB,20,331
AU,15,77
CA,15,191
CN,15,965
IT,15,142
DE,14,340
FR,14,248
ES,13,116
NL,13,64
GR,11,49
JP,11,507
SE,11,38
CH,10,68
PT,10,78
BR,9,366
FI,9,29
IN,9,975
KR,9,210
MY,9,80
PK,9,169
PL,9,224
TR,9,197
TW,9,134
ZA,9,44
AT,8,61
BE,8,39
IR,8,247
NO,8,31
NZ,8,24
RU,8,534
UA,8,220
AE,7,45
CL,7,59
CZ,7,55
DK,7,29
GH,7,53
HK,7,13
ID,7,482
IE,7,21
IL,7,45
MX,7,247
NG,7,145
RO,7,80
SA,7,50
TN,7,31
VN,7,120
AR,6,80
BD,6,105
CO,6,172
CY,6,25
EC,6,59
HR,6,41
HU,6,36
PH,6,164
RS,6,23
SK,6,33
BG,5,44
CM,5,22
KZ,5,65
LT,5,34
LV,5,29
MA,5,52
PE,5,88
SG,5,30
TH,5,105
AL,4,26
BA,4,20
CR,4,30
DZ,4,65
EE,4,13
EG,4,73
ET,4,38
JO,4,27
KE,4,56
KH,4,21
KW,4,9
LB,4,26
LK,4,21
MK,4,13
MO,4,5
NP,4,21
OM,4,20
QA,4,14
SI,4,37
TZ,4,33
UZ,4,54
AZ,3,28
BB,3,3
BF,3,5
BO,3,30
BW,3,5
BY,3,26
CI,3,13
CU,3,23
FJ,3,3
GE,3,32
IQ,3,59
JM,3,6
KG,3,22
ME,3,6
