country_code,h3,institution_count
US,38,3233
CN,32,1039
GB,28,403
AU,26,101
CA,26,247
DE,25,351
ES,24,133
FR,24,320
IT,23,157
BR,20,438
JP,19,946
KR,18,264
IN,17,1086
PL,16,215
IR,15,282
SE,15,42
AR,14,98
MX,14,318
NL,14,76
TR,14,200
ZA,14,46
MY,13,83
PT,13,113
TW,13,140
CH,12,83
CL,12,70
CZ,12,51
FI,12,43
GR,12,54
PK,12,172
RU,12,603
BD,11,108
EG,11,81
ID,11,498
MA,11,58
NG,11,148
NO,11,48
SA,11,51
TH,11,130
AT,10,75
BE,10,59
CO,10,172
HU,10,46
IE,10,25
NZ,10,30
RO,10,77
VN,10,126
ET,9,42
IL,9,49
SK,9,34
TN,9,36
AE,8,49
CY,8,28
DZ,8,70
EC,8,61
IQ,8,63
KE,8,59
LT,8,36
PE,8,88
BG,7,46
DK,7,34
GH,7,48
HK,7,13
HR,7,33
JO,7,26
LK,7,21
PH,7,196
RS,7,21
TZ,7,39
UA,7,219
BO,6,43
CM,6,21
CR,6,37
CU,6,26
IS,6,9
LB,6,25
LV,6,32
MN,6,16
NP,6,22
PR,6,31
PS,6,15
SG,6,31
SI,6,41
UG,6,37
VE,6,44
ZW,6,16
AL,5,22
BA,5,19
CD,5,43
CI,5,14
KH,5,24
OM,5,22
SN,5,16
UY,5,9
AF,4,26
AM,4,12
BF,4,8
BY,4,37
EE,4,16
GE,4,27
GT,4,14
