country_code,h3,institution_count
CN,39,1032
US,33,2243
DE,27,317
IT,26,115
FR,25,249
GB,25,291
JP,25,771
ES,24,107
IN,24,1050
KR,23,264
CA,20,177
AU,19,66
BR,18,369
PL,18,138
RU,18,588
TW,17,138
IR,16,278
TR,16,195
MX,15,226
SA,15,47
AR,14,66
EG,14,75
PK,14,167
CZ,13,33
MA,13,48
MY,13,79
ZA,13,32
NL,12,49
SE,12,37
TH,12,116
BE,11,39
CH,11,57
DZ,11,63
ID,11,381
RO,11,66
VN,11,112
AT,10,52
BD,10,95
FI,10,29
IE,10,21
NG,10,140
PT,10,67
UA,10,186
AE,9,38
CL,9,55
GR,9,47
HU,9,37
IQ,9,62
TN,9,28
CO,8,117
IL,8,35
JO,8,25
NZ,8,19
SK,8,30
BG,7,40
HK,7,11
SG,7,27
AZ,6,27
BY,6,45
DK,6,22
EC,6,48
ET,6,36
KZ,6,63
LK,6,20
NO,6,28
PH,6,115
SI,6,28
CM,5,14
CY,5,19
KE,5,40
LB,5,23
LT,5,22
LY,5,13
NP,5,17
PE,5,64
PR,5,21
UZ,5,50
VE,5,27
YE,5,18
AM,4,11
BA,4,14
CR,4,18
CU,4,21
EE,4,13
GE,4,19
GH,4,26
HR,4,21
KP,4,6
KW,4,7
LV,4,23
MK,4,7
MN,4,13
MO,4,5
OM,4,19
PS,4,15
RS,4,20
SD,4,33
SN,4,7
SY,4,13
UG,4,17
AL,3,12
