country_code,h3,institution_count
US,24,2062
GB,16,250
CN,15,915
DE,15,229
FR,15,215
CA,14,144
IT,14,106
ES,13,95
JP,13,526
AU,12,59
BR,10,259
IN,10,877
KR,10,178
PL,10,121
RU,10,438
AT,9,47
BE,9,27
IR,9,256
NL,9,42
PK,9,148
SA,9,47
TR,9,187
CH,8,48
EG,8,66
GR,8,37
IL,8,39
MA,8,42
RO,8,64
SE,8,37
TW,8,117
ZA,8,31
CL,7,46
CZ,7,29
FI,7,20
HK,7,10
HU,7,36
IE,7,16
MX,7,138
MY,7,68
PT,7,48
VN,7,103
AE,6,30
AR,6,52
CO,6,92
DZ,6,67
IQ,6,57
JO,6,26
KZ,6,54
NG,6,130
NO,6,28
NZ,6,14
TH,6,91
TN,6,24
UA,6,163
BD,5,78
BG,5,34
DK,5,17
ID,5,366
RS,5,13
SK,5,20
UZ,5,49
AZ,4,26
CY,4,15
EC,4,34
ET,4,35
GH,4,30
HR,4,21
KW,4,8
LB,4,20
LK,4,16
LT,4,17
OM,4,16
PH,4,117
SG,4,24
VE,4,19
YE,4,16
AL,3,16
AM,3,9
BA,3,11
BJ,3,5
BY,3,30
CM,3,13
EE,3,4
GE,3,20
KE,3,45
KG,3,19
LV,3,19
LY,3,13
MK,3,10
MN,3,13
NP,3,15
PE,3,48
PR,3,15
PS,3,13
QA,3,9
SD,3,28
SI,3,12
SN,3,8
TJ,3,10
UG,3,14
AF,2,14
