country_code,h3,institution_count
US,16,1586
CN,12,678
GB,11,206
CA,10,114
DE,10,148
AU,9,57
ES,9,90
FR,9,138
IN,9,793
IT,9,78
JP,9,481
KR,9,253
BR,8,322
NL,8,49
PL,8,86
ET,7,37
MX,7,142
ZA,7,28
AR,6,58
BE,6,22
CH,6,34
IR,6,205
NG,6,131
SE,6,28
TH,6,89
TR,6,159
AT,5,26
BD,5,85
CZ,5,22
DK,5,16
EG,5,51
FI,5,25
GH,5,29
HU,5,23
IE,5,14
IL,5,19
KE,5,41
NO,5,29
PK,5,124
PT,5,47
SA,5,38
SK,5,15
TW,5,84
CL,4,39
CO,4,86
GR,4,31
HK,4,8
HR,4,15
ID,4,295
MY,4,55
NP,4,18
NZ,4,17
RO,4,35
RU,4,182
TZ,4,24
AE,3,23
BG,3,17
CI,3,9
CM,3,15
DZ,3,47
EC,3,40
IQ,3,48
JO,3,21
KZ,3,29
LK,3,16
LV,3,5
MA,3,21
MW,3,6
PE,3,58
PH,3,99
RS,3,12
SD,3,27
SG,3,16
SI,3,13
TN,3,17
UA,3,63
UG,3,25
VE,3,15
VN,3,68
YE,3,14
AL,2,10
AM,2,7
BA,2,9
BF,2,6
BH,2,6
BJ,2,4
BO,2,14
CD,2,18
CF,2,2
CR,2,13
CU,2,16
CY,2,13
EE,2,5
FJ,2,2
GA,2,3
GE,2,7
GT,2,9
HN,2,6
IS,2,3
JM,2,4
KH,2,10
