country_code,h3,institution_count
US,15,1032
CN,13,674
GB,11,167
IN,11,881
IT,11,74
JP,11,380
BR,9,230
DE,9,133
EG,9,58
KR,9,129
AU,8,42
CA,8,76
ES,8,68
FR,8,116
IR,8,189
PK,8,124
SA,8,43
TH,8,75
BE,7,21
MY,7,54
NL,7,30
CH,6,21
PL,6,69
RU,6,195
SE,6,20
TR,6,126
TW,6,84
AR,5,36
AT,5,22
CZ,5,18
DK,5,9
HU,5,15
ID,5,211
JO,5,21
MX,5,95
NG,5,122
PT,5,30
RO,5,29
ZA,5,24
AE,4,25
BD,4,68
BG,4,15
FI,4,14
GR,4,22
HK,4,8
IE,4,14
IL,4,19
IQ,4,49
CL,3,34
CM,3,9
CO,3,59
CY,3,11
DZ,3,45
ET,3,27
GH,3,14
LB,3,11
LY,3,11
MA,3,18
NO,3,8
NP,3,14
NZ,3,15
RS,3,8
TN,3,12
UA,3,75
VN,3,68
AF,2,4
AL,2,4
BA,2,7
BH,2,3
BJ,2,4
CD,2,7
CI,2,4
CR,2,7
CU,2,17
EC,2,27
HR,2,7
JM,2,4
KE,2,20
KW,2,3
KZ,2,21
LK,2,12
LT,2,9
MK,2,4
MM,2,13
MN,2,8
MO,2,2
OM,2,7
PE,2,47
PH,2,53
PR,2,11
PS,2,8
QA,2,2
SD,2,20
SG,2,20
SI,2,9
SK,2,8
SY,2,10
TZ,2,13
UG,2,7
UY,2,4
UZ,2,24
