country_code,h3,institution_count
US,51,2490
DE,33,317
IT,32,138
GB,31,328
CN,28,991
FR,27,271
JP,26,763
CA,22,186
ES,22,113
AU,19,74
IN,19,965
KR,19,228
RU,19,572
BR,18,331
PL,16,144
MX,14,189
CL,13,48
NL,13,56
TR,13,185
TW,13,136
BE,12,33
CH,12,63
SE,12,37
AR,11,62
AT,11,59
ZA,11,33
CZ,10,40
FI,10,32
GR,10,50
HU,10,36
IR,10,240
PT,10,78
UA,10,181
EG,9,64
IE,9,22
IL,9,37
MA,9,41
PK,9,154
SA,9,42
VN,9,96
BD,8,86
CO,8,113
MY,8,67
NO,8,30
NZ,8,24
RO,8,70
AE,7,35
DK,7,23
DZ,7,63
HK,7,12
NG,7,115
TH,7,104
BY,6,39
CM,6,13
CY,6,22
ID,6,259
IQ,6,57
JO,6,25
PH,6,89
SK,6,27
TN,6,25
UZ,6,49
BG,5,43
CU,5,22
EC,5,43
GE,5,23
GH,5,22
KZ,5,53
LB,5,21
LK,5,20
LV,5,18
NP,5,16
PE,5,63
SG,5,30
VE,5,29
AM,4,15
AZ,4,26
CR,4,17
HR,4,22
KW,4,6
LT,4,21
MO,4,5
PR,4,24
PS,4,14
QA,4,12
RS,4,17
SI,4,21
BA,3,13
BF,3,4
BO,3,22
EE,3,7
ET,3,36
HN,3,4
JM,3,5
KE,3,34
KG,3,12
KH,3,8
KP,3,4
LY,3,13
MD,3,9
MK,3,10
