country_code,h3,institution_count
US,34,3384
GB,22,436
AU,19,94
CA,19,240
DE,19,383
ES,16,127
IT,16,153
NL,15,88
CN,14,978
FR,13,280
IR,12,285
JP,12,844
AT,11,67
BR,11,417
SE,11,45
BE,10,54
FI,10,39
IL,10,53
KR,10,286
NO,10,49
PL,10,191
PT,10,110
TR,10,201
TW,10,143
ZA,10,46
CH,9,85
CL,9,67
GR,9,53
IN,9,1011
IE,8,27
MX,8,258
MY,8,79
AR,7,89
CO,7,167
DK,7,41
HK,7,13
HU,7,50
ID,7,453
NZ,7,29
PE,7,84
PK,7,168
RO,7,75
RU,7,491
SA,7,49
AE,6,42
BD,6,100
CY,6,28
EG,6,65
ET,6,39
GH,6,46
HR,6,32
JO,6,27
LB,6,25
NG,6,143
RS,6,22
SG,6,34
TH,6,122
CZ,5,46
EC,5,59
LT,5,30
MA,5,47
NP,5,21
PH,5,197
PR,5,31
SK,5,30
TN,5,26
VN,5,111
BA,4,15
BG,4,40
CR,4,32
EE,4,16
IQ,4,57
KE,4,53
KZ,4,61
LK,4,21
LV,4,33
MO,4,5
PS,4,18
SI,4,34
UA,4,183
UG,4,29
VE,4,39
AF,3,24
AL,3,21
AM,3,13
AZ,3,25
BH,3,11
BO,3,31
CD,3,30
CM,3,16
CU,3,26
DO,3,21
DZ,3,58
GT,3,11
IS,3,8
JM,3,6
KH,3,19
KW,3,9
LY,3,14
ME,3,4
MK,3,11
