country_code,h3,institution_count
US,16,1396
AU,11,52
GB,11,176
CN,10,731
ID,10,499
MY,10,81
CA,9,112
ES,8,93
IT,8,87
DE,7,210
FR,7,141
HK,7,12
JO,7,27
KR,7,145
NZ,7,19
PK,7,161
SA,7,47
AE,6,43
CH,6,40
GH,6,46
GR,6,32
IN,6,700
JP,6,199
NG,6,140
NL,6,44
PL,6,118
PT,6,64
TW,6,113
VN,6,86
ZA,6,30
BD,5,95
BE,5,18
BR,5,240
CL,5,47
DK,5,10
EG,5,62
FI,5,25
RO,5,51
SE,5,30
SG,5,18
TN,5,25
TR,5,183
AT,4,36
BH,4,10
CO,4,149
CY,4,17
CZ,4,44
HU,4,25
IE,4,15
IL,4,22
IR,4,207
KE,4,51
KW,4,8
LB,4,22
LK,4,18
MA,4,39
MX,4,132
NO,4,23
OM,4,20
PS,4,17
RS,4,17
RU,4,177
TH,4,88
AR,3,60
BN,3,4
CM,3,13
CU,3,24
EC,3,52
ET,3,36
HR,3,21
IQ,3,59
KZ,3,34
LT,3,19
LV,3,21
LY,3,10
MK,3,10
MO,3,5
NP,3,16
PE,3,70
PH,3,121
QA,3,13
SI,3,14
SK,3,23
TZ,3,29
UA,3,84
UG,3,24
YE,3,11
ZW,3,16
AL,2,17
AZ,2,13
BA,2,15
BG,2,17
BJ,2,5
BO,2,13
BW,2,5
CR,2,23
DZ,2,51
EE,2,6
FJ,2,3
IS,2,5
KG,2,9
