country_code,h3,institution_count
CN,21,989
US,18,1854
GB,15,261
JP,14,744
CA,12,140
DE,12,259
FR,12,228
IT,12,99
KR,12,249
AU,11,65
ES,11,94
IN,11,860
RU,10,575
IR,9,210
MY,9,72
PL,9,120
FI,8,31
SE,8,36
TW,8,122
BE,7,25
BR,7,247
CZ,7,34
EG,7,64
IL,7,27
NL,7,43
PK,7,133
TR,7,176
UA,7,217
AE,6,31
AT,6,44
BD,6,77
CH,6,45
DK,6,14
DZ,6,65
GR,6,43
HK,6,11
ID,6,263
IE,6,20
MA,6,45
MX,6,132
NO,6,22
PT,6,46
SA,6,40
TH,6,96
VN,6,87
AR,5,44
HU,5,32
IQ,5,58
NG,5,103
NZ,5,18
RO,5,47
TN,5,25
ZA,5,27
BG,4,40
BY,4,38
CL,4,41
CO,4,89
JO,4,24
KZ,4,60
LT,4,16
RS,4,18
SG,4,25
SI,4,20
SK,4,26
CY,3,17
EC,3,41
EE,3,9
GH,3,20
HR,3,16
KW,3,7
LB,3,20
LV,3,19
LY,3,11
MK,3,7
MM,3,18
MO,3,4
NP,3,11
OM,3,16
PE,3,50
PH,3,76
PR,3,17
TJ,3,12
UZ,3,40
AM,2,10
AZ,2,16
BA,2,13
BJ,2,4
BN,2,3
BO,2,11
CI,2,6
CM,2,10
CR,2,15
CU,2,14
ET,2,26
FJ,2,3
GE,2,11
GT,2,3
IS,2,2
JM,2,5
KE,2,20
KG,2,15
