country_code,h3,institution_count
US,19,1066
CN,16,748
BR,11,327
ES,11,81
GB,11,191
IT,11,80
KR,10,157
AU,9,57
CA,9,94
DE,9,144
EG,9,47
FR,9,140
JP,9,331
PL,9,85
TR,9,149
IN,8,614
NG,8,119
IR,7,179
MX,7,132
PK,7,109
ZA,7,26
AR,6,53
BE,6,22
CZ,6,25
ID,6,233
NL,6,37
PT,6,50
RO,6,38
SE,6,24
TH,6,69
TW,6,74
AT,5,28
BD,5,70
CH,5,25
DK,5,12
ET,5,36
HK,5,7
HU,5,22
IE,5,14
IL,5,16
IQ,5,48
NO,5,16
NZ,5,16
SA,5,36
BA,4,7
CL,4,40
CO,4,100
DZ,4,40
FI,4,14
GH,4,15
GR,4,25
HR,4,13
MY,4,48
PE,4,60
RS,4,13
RU,4,199
SK,4,18
TN,4,19
VN,4,60
BG,3,23
BJ,3,5
CI,3,9
CM,3,10
CU,3,20
EC,3,44
JO,3,16
KE,3,26
KZ,3,24
LK,3,13
LT,3,8
MA,3,21
MK,3,5
PH,3,76
PR,3,14
SD,3,28
TZ,3,12
UA,3,73
VE,3,23
YE,3,8
AE,2,14
AF,2,9
AL,2,2
AM,2,6
BF,2,4
BO,2,13
BW,2,3
CD,2,10
CR,2,14
DO,2,10
EE,2,5
FJ,2,3
GE,2,7
GT,2,4
HN,2,3
IS,2,6
KH,2,9
LB,2,9
LY,2,9
MG,2,4
ML,2,2
MM,2,4
