country_code,h3,institution_count
US,14,1647
GB,13,220
FR,10,210
AU,9,48
CA,9,136
DE,7,132
AR,6,63
ES,6,78
IT,6,90
NL,6,36
ZA,6,32
BE,5,25
BR,5,241
CH,5,30
PT,5,48
RU,5,166
CL,4,50
CN,4,233
CO,4,74
DK,4,12
GR,4,32
IE,4,17
IL,4,18
IN,4,274
MX,4,109
NG,4,87
NZ,4,11
PH,4,118
PL,4,111
SE,4,22
AT,3,24
BO,3,18
CZ,3,16
FI,3,12
GH,3,25
HK,3,10
ID,3,109
JP,3,142
KE,3,42
MA,3,27
NO,3,21
PE,3,34
VE,3,15
AE,2,17
AM,2,6
BG,2,14
BI,2,2
BJ,2,4
CD,2,14
CI,2,8
CM,2,12
CR,2,10
CY,2,11
DZ,2,46
EC,2,33
EE,2,6
EG,2,22
ET,2,29
GE,2,13
GT,2,5
HU,2,24
IR,2,85
JM,2,4
KG,2,8
KR,2,40
KZ,2,23
LK,2,13
MG,2,8
MK,2,4
MN,2,10
MO,2,4
MT,2,3
MU,2,4
MW,2,2
MZ,2,8
PK,2,46
PR,2,11
PY,2,7
RO,2,23
RS,2,6
SA,2,22
SD,2,11
SG,2,11
SN,2,8
TH,2,32
TN,2,16
TR,2,102
TW,2,30
TZ,2,20
UA,2,52
UG,2,16
UY,2,4
UZ,2,26
VN,2,23
ZW,2,10
AF,1,3
AG,1,1
AL,1,5
AO,1,1
AS,1,1
AW,1,1
