country_code,h3,institution_count
US,10,1121
AU,7,50
CA,7,88
DE,7,153
GB,7,168
NL,7,35
SE,5,26
CH,4,26
CN,4,381
ES,4,65
FI,4,16
FR,4,74
IE,4,17
IL,4,25
IT,4,59
KR,4,79
AT,3,25
BE,3,15
BR,3,137
DK,3,11
HK,3,9
IN,3,378
IR,3,155
JP,3,142
KE,3,34
MY,3,50
NO,3,18
NZ,3,13
PL,3,53
TW,3,55
ZA,3,24
AE,2,20
BD,2,43
CL,2,21
CO,2,36
CZ,2,13
EE,2,4
EG,2,25
GH,2,20
GR,2,22
HU,2,16
ID,2,118
IS,2,3
JO,2,15
LK,2,8
LT,2,10
MX,2,43
NG,2,75
PE,2,21
PK,2,87
PT,2,43
QA,2,3
RO,2,28
RU,2,55
SA,2,32
SG,2,14
SK,2,8
TH,2,35
TR,2,105
UG,2,12
AF,1,2
AG,1,1
AL,1,1
AM,1,1
AO,1,1
AR,1,16
BA,1,3
BB,1,1
BF,1,1
BG,1,5
BH,1,3
BI,1,1
BJ,1,1
BN,1,1
BO,1,2
BW,1,1
BY,1,3
CD,1,4
CG,1,1
CI,1,1
CM,1,5
CR,1,5
CU,1,6
CY,1,9
DO,1,3
DZ,1,9
EC,1,23
ET,1,12
FJ,1,2
FO,1,1
GD,1,1
GE,1,1
GM,1,1
GP,1,1
GT,1,3
GU,1,1
GY,1,2
HN,1,1
HR,1,6
IQ,1,20
JM,1,3
