country_code,h3,institution_count
CN,12,600
BR,10,273
JP,10,315
US,10,729
ES,9,55
ID,9,405
IN,9,637
IR,9,156
TR,9,130
AU,8,44
EG,8,47
FR,8,98
IT,8,60
BD,7,70
CA,7,77
GB,7,117
KR,7,135
MX,7,95
PT,7,40
TH,7,74
DE,6,98
GR,6,22
MY,6,57
NG,6,104
NO,6,17
PK,6,101
BE,5,15
CL,5,36
IL,5,18
LK,5,14
TN,5,17
TW,5,75
ZA,5,23
AR,4,27
AT,4,15
CO,4,70
FI,4,11
GH,4,14
HR,4,12
IQ,4,42
KE,4,26
NL,4,19
NZ,4,13
PH,4,100
PL,4,49
RO,4,28
RU,4,163
SA,4,29
SE,4,22
UZ,4,48
VN,4,69
AE,3,10
BA,3,7
BG,3,16
BJ,3,3
CH,3,13
CI,3,9
CM,3,8
CR,3,9
CZ,3,17
DK,3,7
DZ,3,40
EC,3,33
ET,3,26
HK,3,7
HU,3,12
IE,3,15
KZ,3,26
MA,3,24
MW,3,5
NP,3,9
PE,3,43
PR,3,9
RS,3,10
SG,3,12
AL,2,6
AZ,2,12
BF,2,2
BN,2,4
CD,2,16
CU,2,12
CY,2,9
EE,2,5
FJ,2,3
GN,2,2
IS,2,6
JO,2,10
KH,2,9
LB,2,4
LT,2,8
LY,2,10
ME,2,2
MG,2,4
MK,2,2
MM,2,19
MO,2,2
OM,2,6
PG,2,3
SD,2,13
SK,2,5
SL,2,2
