country_code,h3,institution_count
ES,12,129
IT,12,146
FR,11,293
GB,11,294
US,11,1575
DE,9,258
AU,8,73
CA,8,142
BE,7,38
CH,6,42
GR,6,46
IL,6,39
JP,6,278
MY,6,66
NL,6,53
PL,6,120
PT,6,70
TR,6,233
AR,5,71
AT,5,54
BR,5,274
CN,5,548
CZ,5,38
MX,5,144
RU,5,325
SE,5,28
ZA,5,43
CL,4,51
CY,4,22
DK,4,18
EG,4,67
HR,4,25
HU,4,43
ID,4,215
IE,4,17
IN,4,473
IR,4,191
JO,4,23
KR,4,105
NO,4,30
RO,4,67
AE,3,32
BG,3,32
BW,3,5
CO,3,96
CR,3,13
CU,3,22
DZ,3,49
EC,3,43
EE,3,9
FI,3,25
HK,3,10
IQ,3,52
LT,3,9
MA,3,33
NG,3,77
NZ,3,16
PE,3,51
PK,3,84
RS,3,16
SA,3,39
SK,3,25
TH,3,48
TN,3,21
TW,3,55
UA,3,104
AG,2,2
AL,2,22
AM,2,12
BA,2,13
BD,2,41
BO,2,13
BY,2,10
CM,2,12
ET,2,20
GE,2,18
GH,2,19
GT,2,7
JM,2,5
KE,2,16
KH,2,10
KY,2,2
KZ,2,33
LB,2,15
LK,2,16
LV,2,16
LY,2,12
MD,2,7
ME,2,3
MK,2,8
MM,2,10
MN,2,12
MO,2,5
MZ,2,6
,2,3
NI,2,11
NP,2,10
OM,2,9
PA,2,11
PH,2,57
PR,2,15
