country_code,h3,institution_count
CN,13,807
US,11,1046
DE,9,230
FR,8,182
GB,8,177
IT,8,83
PL,8,132
AU,7,41
CA,7,88
ES,7,78
KR,7,160
IN,6,671
JP,6,312
MY,6,62
PT,6,41
RO,6,47
AT,5,41
BR,5,195
CH,5,28
CZ,5,27
FI,5,27
GR,5,32
HK,5,10
MA,5,32
NL,5,37
RU,5,244
SE,5,32
TR,5,153
TW,5,100
BD,4,57
BE,4,23
EG,4,47
HU,4,21
ID,4,207
IE,4,12
IL,4,17
IR,4,176
NZ,4,14
RS,4,15
SA,4,38
TH,4,60
TN,4,22
UA,4,94
VN,4,64
ZA,4,21
AE,3,29
BA,3,10
BG,3,18
CL,3,28
CO,3,72
DK,3,14
DZ,3,45
EC,3,38
EE,3,5
HR,3,14
IQ,3,40
JO,3,17
LV,3,15
MX,3,98
NO,3,20
PH,3,61
PK,3,91
SG,3,16
SI,3,14
SK,3,14
AR,2,29
CM,2,9
CR,2,7
CY,2,9
ET,2,28
GH,2,21
KE,2,13
KW,2,6
KZ,2,34
LB,2,15
LK,2,16
LT,2,17
ME,2,3
MK,2,5
MO,2,4
NG,2,80
NP,2,8
OM,2,17
PE,2,37
PR,2,7
QA,2,4
TZ,2,11
UY,2,5
UZ,2,24
VE,2,10
AD,1,1
AF,1,5
AL,1,4
AM,1,7
AO,1,3
AZ,1,7
BB,1,1
BF,1,3
BH,1,4
BI,1,2
BJ,1,1
