country_code,h3,institution_count
US,12,678
DE,8,82
CA,7,57
AU,6,34
BR,6,118
CN,6,281
FR,6,49
GB,6,83
JP,6,188
NL,6,24
ES,5,43
IL,5,14
IT,5,50
RU,5,91
BE,4,10
CH,4,15
GR,4,12
HU,4,13
IN,4,162
IR,4,88
KR,4,58
MX,4,33
PL,4,34
SE,4,16
AR,3,23
AT,3,10
CL,3,21
FI,3,7
HK,3,5
IE,3,8
TR,3,59
TW,3,28
ZA,3,8
BD,2,11
CO,2,19
CZ,2,8
DK,2,5
EE,2,2
EG,2,21
HR,2,5
IQ,2,11
LB,2,5
MA,2,8
MY,2,18
NG,2,32
NO,2,4
NZ,2,6
PK,2,27
PR,2,9
PT,2,11
RS,2,4
SA,2,17
SG,2,7
SK,2,5
TH,2,13
UA,2,24
AE,1,6
AF,1,2
AM,1,1
AZ,1,1
BA,1,3
BG,1,7
BH,1,2
BO,1,2
BY,1,2
CM,1,2
CR,1,2
CU,1,1
CY,1,4
DO,1,1
DZ,1,7
EC,1,5
ET,1,2
GA,1,1
GD,1,1
GE,1,2
GH,1,4
ID,1,24
IS,1,1
JM,1,1
JO,1,7
KE,1,2
KH,1,1
KW,1,1
KY,1,1
KZ,1,2
LK,1,4
LT,1,4
LU,1,1
LV,1,1
LY,1,3
MK,1,2
MM,1,1
MN,1,2
MS,1,1
MU,1,1
NP,1,4
OM,1,2
PE,1,6
PH,1,1
PS,1,1
