country_code,h3,institution_count
CN,10,349
US,8,385
BR,7,100
PL,6,38
AU,5,35
DE,5,65
GB,5,63
IT,5,51
JP,5,135
AT,4,11
CA,4,39
ES,4,45
IE,4,9
IR,4,76
KR,4,51
NL,4,15
RU,4,75
TW,4,32
BE,3,10
CH,3,10
EG,3,31
FR,3,41
GR,3,11
HK,3,5
IL,3,10
IN,3,177
MX,3,33
NG,3,29
NO,3,8
RO,3,15
RS,3,3
SE,3,11
TR,3,74
ZA,3,11
AE,2,5
AR,2,11
BD,2,16
BG,2,6
CZ,2,7
DK,2,5
FI,2,6
HR,2,4
HU,2,9
ID,2,20
IQ,2,10
JO,2,8
LT,2,3
MY,2,15
NZ,2,6
PK,2,35
PR,2,11
PT,2,11
SA,2,15
SG,2,3
TH,2,13
TN,2,5
AF,1,3
AL,1,1
AM,1,3
AW,1,1
AZ,1,1
BA,1,3
BH,1,1
BJ,1,1
BY,1,1
BZ,1,1
CD,1,2
CI,1,1
CL,1,13
CM,1,5
CO,1,11
CR,1,1
CU,1,1
CY,1,3
DO,1,1
DZ,1,4
EC,1,5
EE,1,2
ET,1,3
GD,1,1
GE,1,5
GF,1,1
GH,1,3
HN,1,1
KE,1,3
KH,1,1
KN,1,1
KW,1,1
KY,1,1
KZ,1,4
LB,1,4
LK,1,1
LV,1,2
LY,1,3
MA,1,7
MD,1,1
ME,1,1
MK,1,1
MM,1,1
MN,1,2
MO,1,3
