country_code,h3,institution_count
CN,20,834
US,15,961
FR,12,152
IT,12,79
BR,11,271
DE,11,176
ES,11,80
IR,11,221
JP,11,393
KR,11,157
CA,10,87
GB,10,163
IN,10,770
AU,9,42
NL,9,36
PL,9,71
RU,9,230
MX,8,131
MY,8,66
PT,8,44
SE,8,22
TH,8,91
TR,8,159
TW,8,88
AT,7,31
CH,7,26
CZ,7,22
FI,7,21
ID,7,218
IE,7,13
RO,7,44
AR,6,49
BE,6,20
EG,6,57
GR,6,28
HU,6,25
IL,6,20
MA,6,24
PK,6,123
SA,6,38
BD,5,68
CL,5,40
CO,5,81
HK,5,9
SK,5,13
VN,5,72
ZA,5,27
AE,4,23
BG,4,19
DK,4,8
DZ,4,52
IQ,4,46
JO,4,20
NG,4,112
NZ,4,13
SG,4,18
TN,4,16
UA,4,61
CM,3,9
CR,3,10
CY,3,13
EC,3,35
EE,3,6
ET,3,30
KZ,3,31
LK,3,17
LT,3,10
LV,3,5
MO,3,3
NO,3,15
OM,3,13
PE,3,45
PH,3,55
PR,3,14
RS,3,9
SI,3,14
AF,2,4
AM,2,7
AZ,2,8
BA,2,7
BH,2,4
BN,2,2
BY,2,13
CI,2,6
CU,2,16
GE,2,8
GH,2,11
HR,2,6
IS,2,3
KE,2,23
KH,2,9
KW,2,4
LB,2,12
LU,2,2
LY,2,9
MK,2,4
MM,2,9
MN,2,9
MZ,2,3
NE,2,3
NP,2,10
