country_code,h3,institution_count
CN,29,1001
US,25,2107
KR,19,249
DE,18,280
GB,18,283
IT,18,126
JP,18,698
FR,17,246
CA,16,169
ES,16,106
AU,15,72
IN,15,1004
BR,13,362
IR,13,266
SE,13,36
MY,12,73
NL,12,60
PL,12,127
RU,12,485
TR,12,189
TW,12,138
TH,11,112
AT,10,61
BE,10,48
CH,10,50
CZ,10,36
FI,10,34
ID,10,372
MX,10,193
PK,10,161
SA,10,47
PT,9,76
RO,9,61
ZA,9,30
AR,8,71
EG,8,67
GR,8,43
IE,8,20
MA,8,42
AE,7,36
BD,7,91
CL,7,53
CO,7,127
HU,7,34
IL,7,34
IQ,7,60
NG,7,132
NO,7,29
SG,7,29
VN,7,105
DK,6,22
DZ,6,61
HK,6,12
JO,6,25
NZ,6,23
SK,6,26
TN,6,24
UA,6,170
BG,5,36
EC,5,53
ET,5,35
GH,5,25
LT,5,23
PH,5,122
RS,5,16
SI,5,27
BA,4,12
BY,4,36
CM,4,15
CU,4,23
CY,4,19
HR,4,16
KE,4,35
KW,4,7
KZ,4,58
LB,4,22
LK,4,19
LV,4,24
MN,4,13
NP,4,18
OM,4,22
PE,4,68
PR,4,23
QA,4,9
VE,4,25
AF,3,15
AZ,3,18
CI,3,7
CR,3,17
EE,3,7
GE,3,20
GT,3,6
KH,3,8
LY,3,11
MM,3,26
MO,3,5
MZ,3,6
PS,3,15
SD,3,31
TZ,3,18
UZ,3,41
