country_code,h3,institution_count
US,13,777
FR,10,113
JP,10,372
BR,9,230
CN,9,627
DE,8,127
ES,8,65
GB,8,130
KR,8,139
AU,7,36
CA,7,59
IT,7,73
EG,6,44
ID,6,209
IN,6,590
NL,6,26
TW,6,76
AT,5,23
BE,5,21
HU,5,17
IL,5,14
MX,5,99
MY,5,47
NZ,5,11
PL,5,48
PT,5,31
SE,5,19
TH,5,57
TR,5,116
AR,4,37
CH,4,22
CL,4,35
DK,4,12
GR,4,24
HK,4,7
IE,4,14
IR,4,162
NG,4,100
NO,4,8
PK,4,85
RU,4,145
SA,4,30
ZA,4,23
CO,3,60
CZ,3,14
DZ,3,37
FI,3,16
IQ,3,40
LT,3,6
RO,3,26
SK,3,10
TN,3,13
VE,3,14
VN,3,58
AE,2,11
AF,2,6
AM,2,3
BD,2,49
BG,2,18
BW,2,4
BY,2,9
CM,2,7
CR,2,8
CU,2,14
CY,2,7
EC,2,30
EE,2,3
ET,2,25
GE,2,6
GH,2,12
HR,2,10
JO,2,17
KE,2,10
KZ,2,19
LB,2,6
LK,2,12
LV,2,5
MA,2,12
MK,2,3
MO,2,2
MU,2,2
NP,2,8
PA,2,6
PE,2,27
PH,2,38
PR,2,16
RS,2,6
SD,2,10
SG,2,8
SI,2,7
UA,2,46
AL,1,4
AO,1,1
AZ,1,9
BA,1,2
BB,1,1
BF,1,2
BH,1,4
BI,1,2
BJ,1,3
BO,1,9
