country_code,h3,institution_count
CN,13,864
US,12,1185
ES,11,90
GB,11,207
IT,11,101
AU,10,53
BR,9,327
CA,9,129
DE,9,226
KR,9,187
PL,9,108
SE,9,32
FR,8,218
TR,8,178
BE,7,28
CH,7,36
EG,7,65
GR,7,38
IN,7,770
JP,7,376
MY,7,70
AT,6,40
CZ,6,23
FI,6,27
IR,6,215
MA,6,42
NL,6,49
PT,6,65
RU,6,319
SA,6,43
TH,6,84
TW,6,111
ZA,6,27
AE,5,35
AR,5,51
BD,5,75
CL,5,44
DK,5,20
HK,5,12
HU,5,20
ID,5,290
IE,5,19
MX,5,146
NG,5,126
NO,5,20
NZ,5,18
PK,5,133
RO,5,45
SK,5,21
CO,4,99
CY,4,17
DZ,4,62
GH,4,33
IQ,4,55
JO,4,26
RS,4,16
SG,4,21
SI,4,18
TN,4,21
UA,4,112
VN,4,78
BA,3,11
BF,3,6
BG,3,27
BY,3,20
CM,3,13
CU,3,20
EC,3,48
EE,3,6
ET,3,31
HR,3,13
IL,3,20
KE,3,29
KW,3,7
KZ,3,45
LB,3,16
LK,3,19
LT,3,23
LV,3,18
NP,3,14
OM,3,13
PE,3,54
PH,3,89
SN,3,8
UY,3,6
UZ,3,37
AL,2,13
AM,2,4
AZ,2,11
BH,2,8
BJ,2,5
BN,2,2
BO,2,15
CI,2,5
CR,2,12
GE,2,8
GN,2,3
HN,2,6
IS,2,3
KH,2,8
LU,2,2
