country_code,h3,institution_count
CN,26,855
US,24,1219
GB,16,171
IT,16,97
DE,15,158
JP,14,396
FR,13,132
KR,12,169
AU,11,47
CA,11,85
ES,11,83
IR,10,192
NL,10,38
BR,9,261
TW,9,90
BE,8,19
CH,8,33
EG,8,50
IN,8,644
PL,8,83
SE,8,24
TR,8,137
FI,7,18
GR,7,28
IL,7,20
MX,7,109
AT,6,31
CZ,6,24
DK,6,11
HK,6,9
IE,6,14
RU,6,162
SA,6,39
IQ,5,52
NO,5,16
PT,5,40
RO,5,34
SG,5,17
AE,4,21
AR,4,44
CL,4,31
CO,4,55
HR,4,14
HU,4,20
MY,4,42
NG,4,72
PK,4,102
RS,4,8
TH,4,44
VN,4,58
ZA,4,20
BD,3,46
BG,3,16
GH,3,8
ID,3,107
JO,3,18
KZ,3,29
LB,3,12
MO,3,4
NP,3,11
NZ,3,12
PE,3,33
PR,3,16
QA,3,5
SI,3,10
SK,3,15
TN,3,15
UA,3,45
VE,3,13
AM,2,4
BA,2,8
BH,2,3
BO,2,7
CM,2,9
CR,2,6
CU,2,17
CY,2,11
DZ,2,35
EC,2,25
EE,2,4
ET,2,22
GE,2,10
IS,2,2
KE,2,15
KH,2,3
KW,2,2
LK,2,15
LT,2,7
LV,2,4
LY,2,11
MA,2,21
ME,2,2
MK,2,5
MN,2,8
OM,2,8
PH,2,44
PS,2,7
PY,2,7
RW,2,3
SD,2,21
SY,2,4
