country_code,h3,institution_count
US,32,2042
IT,22,127
DE,21,251
JP,21,651
CN,19,831
GB,19,277
CA,16,153
FR,16,196
ES,15,110
AU,14,78
TR,13,185
BR,12,364
KR,12,196
NL,12,54
PL,11,156
TW,11,123
AT,10,52
CH,10,53
BE,9,39
IN,9,867
IR,9,200
SE,9,37
AR,8,79
EG,8,62
GR,8,46
PT,8,81
RO,8,53
RU,8,339
CL,7,49
CZ,7,35
FI,7,28
IL,7,40
PK,7,156
SA,7,48
ZA,7,26
CO,6,133
DK,6,25
HU,6,32
ID,6,266
IE,6,24
MX,6,198
MY,6,67
NG,6,105
NO,6,36
NZ,6,24
TN,6,24
AE,5,27
BD,5,86
CY,5,17
EC,5,53
ET,5,34
HK,5,9
HR,5,26
LB,5,22
MA,5,36
NP,5,20
PE,5,62
PR,5,25
RS,5,16
SG,5,23
SK,5,25
TH,5,76
VE,5,24
VN,5,80
BA,4,16
BG,4,23
GH,4,28
IQ,4,51
JM,4,4
JO,4,22
KZ,4,29
LK,4,19
LT,4,19
UA,4,112
AL,3,15
BH,3,7
BJ,3,5
BY,3,21
CI,3,7
CM,3,16
CU,3,23
DO,3,18
DZ,3,51
GE,3,19
KE,3,17
KH,3,8
LV,3,18
LY,3,10
MK,3,10
MM,3,21
MN,3,8
OM,3,14
PH,3,97
PS,3,13
PY,3,17
QA,3,11
RW,3,7
SD,3,32
SI,3,20
SY,3,8
UG,3,16
