country_code,h3,institution_count
CN,11,640
DE,9,111
US,9,555
GB,8,84
JP,8,217
CA,7,55
ES,7,53
FR,7,97
IT,7,54
KR,7,101
PL,7,42
AR,6,24
BR,6,102
IN,6,292
IR,6,124
RU,6,184
AU,5,32
BE,5,13
GR,5,16
MY,5,39
NL,5,19
SE,5,13
ZA,5,20
AT,4,15
DZ,4,25
FI,4,11
PT,4,23
SA,4,24
TH,4,32
TW,4,61
AE,3,11
CH,3,14
CL,3,22
CO,3,33
CZ,3,18
DK,3,7
HK,3,8
HU,3,11
ID,3,38
IE,3,6
IL,3,7
MX,3,52
PK,3,51
QA,3,3
RO,3,12
TR,3,63
UA,3,39
VN,3,33
AZ,2,10
BD,2,23
BG,2,12
BY,2,7
CY,2,4
EG,2,26
IQ,2,23
JO,2,11
KW,2,3
KZ,2,21
LB,2,7
LV,2,6
LY,2,4
MA,2,15
MN,2,2
MO,2,2
NG,2,28
NO,2,7
NP,2,3
NZ,2,5
OM,2,4
PH,2,6
PR,2,3
RS,2,6
SG,2,5
SI,2,4
SK,2,6
TN,2,9
UZ,2,22
VE,2,10
AF,1,2
AG,1,1
AL,1,1
AM,1,2
AO,1,1
BA,1,2
BF,1,1
BH,1,1
BI,1,1
BN,1,2
BO,1,5
CD,1,1
CI,1,1
CM,1,4
CR,1,2
CU,1,4
EC,1,7
EE,1,2
ET,1,6
GE,1,4
GH,1,4
GT,1,2
HR,1,1
