country_code,h3,institution_count
US,21,1369
GB,15,205
DE,14,162
FR,14,151
JP,14,452
CA,13,107
CN,13,701
IT,12,90
BR,10,293
ES,10,90
KR,10,166
NL,10,41
AU,9,50
AT,8,28
CH,8,34
SE,8,26
BE,7,27
FI,7,17
IN,7,669
PL,7,85
TW,7,92
CL,6,39
EG,6,43
GR,6,30
HK,6,8
IE,6,14
IL,6,25
IR,6,176
PT,6,41
TH,6,60
AR,5,49
HU,5,24
MX,5,123
NO,5,21
NZ,5,16
TR,5,139
ZA,5,24
CZ,4,24
DK,4,12
LK,4,15
MY,4,38
NG,4,90
PK,4,104
PR,4,16
RO,4,32
RU,4,194
SA,4,33
TN,4,12
BD,3,54
CO,3,70
EE,3,8
GH,3,11
ID,3,133
IQ,3,41
JO,3,13
MA,3,17
QA,3,6
RS,3,10
SG,3,16
SK,3,11
AE,2,13
AM,2,4
BA,2,6
BF,2,2
BG,2,17
BH,2,4
BJ,2,5
BY,2,10
CD,2,5
CI,2,6
CM,2,7
CR,2,10
CU,2,18
CY,2,9
DZ,2,32
EC,2,32
ET,2,18
GE,2,12
HR,2,10
IS,2,2
KE,2,18
KW,2,3
KZ,2,24
LB,2,10
LT,2,10
LV,2,7
LY,2,9
MM,2,13
MO,2,4
NP,2,11
PA,2,5
PE,2,37
PH,2,47
PS,2,8
PY,2,6
SY,2,5
TZ,2,10
UA,2,58
VE,2,13
VN,2,44
YE,2,6
