country_code,h3,institution_count
US,30,1431
DE,20,181
GB,18,197
IT,18,96
JP,18,509
CN,16,667
FR,16,160
CA,15,104
ES,14,89
AU,12,57
BR,11,265
KR,11,145
AT,9,29
IR,9,179
NL,9,35
PL,9,96
RU,9,210
TW,9,90
BE,8,23
CH,8,37
SE,8,31
TR,8,134
CL,7,42
FI,7,15
HU,7,24
IL,7,27
IN,7,597
MX,7,111
EG,6,45
GR,6,27
HK,6,8
IE,6,12
PT,6,41
AR,5,51
DK,5,14
PR,5,19
TH,5,31
BG,4,14
CO,4,68
CZ,4,25
MY,4,38
NG,4,64
NO,4,19
NZ,4,14
RO,4,34
SA,4,36
TN,4,14
UA,4,57
VE,4,15
ZA,4,19
AE,3,22
BD,3,47
BY,3,7
EE,3,5
GE,3,12
GH,3,9
HR,3,13
ID,3,86
IQ,3,35
JO,3,15
LB,3,11
LT,3,6
MA,3,14
PE,3,28
PK,3,96
RS,3,9
SG,3,14
AM,2,7
BA,2,7
BH,2,3
BO,2,7
CI,2,4
CM,2,8
CR,2,8
CU,2,13
CY,2,11
DZ,2,19
EC,2,32
ET,2,10
GT,2,4
IS,2,2
JM,2,5
KN,2,4
KZ,2,11
LK,2,9
LV,2,7
LY,2,6
ML,2,3
MO,2,3
MT,2,3
NP,2,11
OM,2,3
PH,2,35
PS,2,6
PY,2,6
QA,2,5
SD,2,11
SI,2,6
SK,2,8
SY,2,5
UG,2,6
