country_code,h3,institution_count
CN,11,575
US,9,442
DE,8,102
FR,8,101
JP,8,243
GB,7,85
KR,6,98
RU,6,152
BR,5,103
ES,5,35
IN,5,308
IT,5,41
TR,5,64
AU,4,27
CA,4,39
IR,4,62
MY,4,26
PL,4,38
SE,4,14
TW,4,52
AT,3,16
BY,3,8
CZ,3,10
DZ,3,21
EG,3,36
GR,3,12
HK,3,5
IL,3,10
MA,3,14
MX,3,37
NL,3,11
UA,3,32
AR,2,14
BD,2,11
BE,2,12
BG,2,6
CH,2,13
CO,2,17
DK,2,4
FI,2,8
HU,2,6
ID,2,50
IE,2,9
IQ,2,24
KZ,2,13
LV,2,5
NG,2,26
NO,2,3
NZ,2,6
PK,2,30
PT,2,16
RO,2,12
RS,2,4
SA,2,22
SG,2,8
SI,2,6
SK,2,8
TH,2,31
TN,2,5
UZ,2,9
VN,2,20
ZA,2,8
AE,1,3
AL,1,1
AM,1,2
AZ,1,7
BA,1,2
BH,1,1
BI,1,1
BN,1,2
BO,1,1
CI,1,3
CL,1,4
CM,1,3
CR,1,1
CU,1,2
CY,1,2
EC,1,7
EE,1,3
ET,1,7
GE,1,3
GF,1,1
GH,1,3
HN,1,1
HR,1,2
IS,1,1
JM,1,1
JO,1,8
KE,1,1
KH,1,1
KW,1,1
LB,1,2
LK,1,3
LT,1,3
LU,1,1
LY,1,4
MD,1,1
MK,1,1
MM,1,1
MN,1,2
MT,1,1
