country_code,h3,institution_count
US,3,299
CA,2,21
GB,2,38
IR,2,28
NL,2,12
SE,2,5
AE,1,1
AL,1,3
AR,1,1
AT,1,1
AU,1,11
BD,1,1
BE,1,8
BG,1,1
BR,1,51
CD,1,2
CH,1,3
CN,1,34
CO,1,5
CR,1,1
CU,1,2
CY,1,1
CZ,1,5
DE,1,22
DK,1,3
DZ,1,2
EG,1,9
ES,1,10
ET,1,6
FI,1,2
FR,1,5
GH,1,2
GR,1,6
GT,1,1
HK,1,1
HN,1,1
HR,1,1
ID,1,34
IE,1,2
IL,1,2
IN,1,19
IQ,1,5
IS,1,1
IT,1,11
JO,1,1
JP,1,22
KE,1,1
KR,1,13
KZ,1,1
LB,1,1
LK,1,1
LV,1,1
MA,1,2
MX,1,8
MY,1,13
NG,1,10
NO,1,1
NP,1,1
NZ,1,4
OM,1,1
PA,1,1
PE,1,1
PG,1,1
PH,1,6
PK,1,7
PL,1,5
PR,1,2
PT,1,9
PY,1,1
RS,1,1
RU,1,8
SA,1,6
SD,1,1
SG,1,4
SK,1,1
TH,1,6
TJ,1,1
TN,1,2
TR,1,12
TW,1,8
TZ,1,1
UA,1,1
UY,1,2
UZ,1,1
VN,1,2
YE,1,1
ZA,1,7
ZW,1,1
