country_code,h3,institution_count
US,27,2834
GB,18,345
AU,17,88
CA,17,204
DE,14,296
ES,12,112
IR,12,269
IT,12,133
CN,11,801
FR,11,239
NL,11,76
TR,10,197
BE,9,44
BR,9,405
IL,9,49
SE,9,42
IE,8,23
IN,8,866
JP,8,575
NO,8,39
PL,8,142
ZA,8,39
AT,7,54
CH,7,65
CL,7,61
EG,7,59
FI,7,32
GR,7,44
KR,7,247
MY,7,67
NZ,7,24
PT,7,96
SA,7,47
TW,7,119
BD,6,93
HK,6,12
HU,6,39
JO,6,27
LB,6,22
MX,6,192
PK,6,163
RO,6,57
RU,6,275
AR,5,78
CO,5,135
CY,5,22
ET,5,38
HR,5,29
NG,5,118
NP,5,19
PE,5,75
SG,5,27
TH,5,93
AE,4,35
BA,4,16
BG,4,23
CZ,4,32
DK,4,27
EC,4,52
GH,4,37
ID,4,337
IQ,4,55
LK,4,20
LT,4,19
PH,4,176
PR,4,27
PS,4,16
RS,4,18
SK,4,26
TN,4,20
UG,4,23
VN,4,87
AF,3,17
AL,3,12
AZ,3,14
BH,3,8
BO,3,25
CD,3,20
CM,3,12
CR,3,27
IS,3,5
JM,3,6
KE,3,48
KZ,3,39
LV,3,17
MA,3,35
MK,3,10
MO,3,5
MZ,3,11
OM,3,15
QA,3,8
RW,3,8
SD,3,37
SI,3,23
SY,3,12
UA,3,128
UY,3,7
VE,3,23
YE,3,16
ZW,3,13
AG,2,3
