country_code,h3,institution_count
US,29,2087
DE,20,266
GB,20,262
CN,18,840
IT,17,127
AU,16,66
CA,16,162
FR,15,211
JP,14,614
ES,12,103
NL,12,58
BR,10,326
KR,10,183
AT,9,50
FI,9,29
IL,9,46
SE,9,39
BE,8,33
CH,8,52
IN,8,770
IR,8,208
PL,8,114
TR,8,173
TW,8,117
GR,7,38
HK,7,12
HU,7,32
IE,7,18
MX,7,140
MY,7,68
NZ,7,20
PT,7,65
RU,7,251
AR,6,64
CL,6,52
NO,6,37
AE,5,31
BD,5,79
CZ,5,30
DK,5,23
RO,5,49
SA,5,47
SG,5,24
ZA,5,31
BG,4,24
CO,4,114
CY,4,15
EC,4,43
EG,4,51
ID,4,193
IQ,4,50
PK,4,130
TH,4,61
CU,3,14
DZ,3,38
EE,3,8
GE,3,16
GH,3,16
JO,3,18
KZ,3,24
LB,3,18
LK,3,15
LT,3,15
LV,3,13
MA,3,25
MN,3,9
MO,3,4
NG,3,74
PR,3,18
QA,3,7
RS,3,13
SI,3,16
SK,3,19
TN,3,18
UA,3,86
VN,3,62
AL,2,12
AM,2,6
AZ,2,10
BA,2,11
BH,2,5
BN,2,2
BO,2,15
CR,2,11
ET,2,19
FJ,2,3
HR,2,15
IS,2,6
KE,2,16
KH,2,6
KW,2,6
MK,2,9
MZ,2,6
NP,2,9
OM,2,13
PA,2,8
PE,2,50
PH,2,70
PS,2,12
PY,2,11
SV,2,6
