country_code,h3,institution_count
JP,7,167
US,7,373
BR,6,206
CN,6,190
IT,5,59
PL,5,46
SE,5,18
DE,4,74
ES,4,51
FR,4,51
KR,4,55
NL,4,16
PT,4,17
AT,3,18
AU,3,23
CA,3,24
CH,3,8
CL,3,26
FI,3,9
GB,3,55
IL,3,5
IN,3,228
IR,3,64
RO,3,19
RU,3,74
SA,3,28
TR,3,96
TW,3,22
AR,2,23
BE,2,9
BG,2,9
CO,2,25
CU,2,13
CZ,2,7
DK,2,6
EC,2,20
EG,2,33
GR,2,8
HK,2,4
HR,2,7
HU,2,10
ID,2,33
IQ,2,20
LT,2,6
LV,2,6
MX,2,34
MY,2,20
NG,2,35
NO,2,4
NZ,2,5
PK,2,28
RS,2,4
SG,2,7
TH,2,20
TN,2,8
UA,2,42
YE,2,4
ZA,2,13
AE,1,7
AF,1,1
AG,1,1
AL,1,3
AM,1,1
AO,1,1
AZ,1,1
BA,1,5
BD,1,12
BF,1,1
BJ,1,2
BO,1,3
BS,1,1
BT,1,2
BW,1,1
BY,1,5
BZ,1,2
CD,1,3
CG,1,1
CI,1,3
CM,1,5
CR,1,5
CV,1,1
CY,1,2
DZ,1,11
EE,1,2
ET,1,8
GA,1,1
GD,1,1
GE,1,3
GH,1,5
HN,1,2
IE,1,8
IS,1,1
JM,1,1
JO,1,4
KE,1,6
KG,1,2
KH,1,1
KW,1,1
KZ,1,9
LB,1,4
LK,1,6
