country_code,h3,institution_count
US,16,1352
FR,13,183
CN,12,821
DE,12,195
IT,12,87
CA,10,104
GB,10,178
ES,9,87
IN,9,781
AU,8,47
CZ,8,26
JP,8,347
NL,8,36
PL,8,100
AT,7,34
BE,7,22
BR,7,199
CH,7,37
IL,7,31
KR,7,134
RU,7,282
SA,7,41
SE,7,26
TW,7,108
DK,6,12
FI,6,20
GR,6,36
HK,6,9
HU,6,24
IR,6,198
MA,6,34
PK,6,126
TH,6,75
TR,6,147
VN,6,90
AR,5,42
BD,5,66
CL,5,39
DZ,5,59
EG,5,53
ID,5,203
MX,5,95
NG,5,94
NZ,5,11
PT,5,48
RO,5,43
ZA,5,26
BG,4,23
CO,4,56
IE,4,15
IQ,4,46
MY,4,52
NO,4,15
RS,4,10
SI,4,13
SK,4,20
TN,4,21
AE,3,24
CM,3,9
CU,3,13
ET,3,27
HR,3,12
JO,3,24
KZ,3,27
LB,3,11
MO,3,4
PH,3,66
SG,3,15
UA,3,98
AL,2,10
AM,2,8
AZ,2,17
BA,2,7
BF,2,4
BW,2,3
BY,2,11
CI,2,6
CR,2,7
CY,2,12
EC,2,22
EE,2,4
GE,2,10
GH,2,11
IS,2,3
KE,2,21
KW,2,7
LK,2,15
LT,2,9
LV,2,5
MD,2,4
MK,2,11
MM,2,10
MN,2,7
MZ,2,4
NP,2,10
OM,2,12
PA,2,4
PE,2,28
PR,2,9
PS,2,10
QA,2,6
