country_code,h3,institution_count
US,8,481
DE,7,121
FR,7,86
CA,5,45
CN,5,705
ES,5,46
IT,5,38
PL,5,75
AT,4,17
GB,4,89
JP,4,149
KR,4,104
NL,4,16
AU,3,29
BE,3,10
BR,3,62
CH,3,13
CZ,3,17
DK,3,8
HK,3,10
HU,3,14
IL,3,17
IN,3,163
MY,3,36
NO,3,8
PT,3,16
RU,3,128
SE,3,15
SK,3,10
TR,3,59
TW,3,60
AR,2,8
BG,2,15
CL,2,11
CO,2,8
FI,2,7
GR,2,16
HR,2,6
IE,2,5
IR,2,46
LV,2,7
MK,2,5
MO,2,4
MX,2,26
NZ,2,7
RO,2,19
RS,2,7
SA,2,13
SG,2,8
SI,2,4
TH,2,41
UA,2,51
ZA,2,8
AE,1,6
AM,1,3
AZ,1,3
BA,1,3
BD,1,17
BH,1,3
BI,1,1
BN,1,1
BO,1,1
BY,1,3
CD,1,2
CM,1,2
CR,1,3
CU,1,2
CY,1,4
DO,1,1
DZ,1,7
EC,1,5
EE,1,1
EG,1,22
ET,1,2
GH,1,6
HN,1,1
ID,1,78
IQ,1,13
IS,1,1
JO,1,11
KE,1,5
KG,1,3
KH,1,1
KW,1,2
KZ,1,9
LB,1,2
LK,1,9
LT,1,6
LU,1,1
MA,1,8
MC,1,1
MD,1,3
MM,1,1
MN,1,8
MT,1,1
MV,1,1
MZ,1,1
,1,1
NG,1,11
NP,1,3
OM,1,2
