country_code,h3,institution_count
CN,23,1013
US,19,1526
ES,14,92
FR,14,243
DE,13,263
GB,13,210
IT,13,124
KR,13,243
AU,12,55
CA,12,117
IN,11,989
JP,11,531
MY,10,78
NL,10,49
TW,10,140
BR,9,260
SA,9,48
SE,9,32
BE,8,31
CH,8,47
EG,8,74
GR,8,44
IR,8,234
PK,8,151
PL,8,100
PT,8,65
TR,8,181
AE,7,39
AT,7,55
BD,7,89
FI,7,37
IE,7,19
IL,7,29
IQ,7,62
MA,7,49
MX,7,148
CO,6,104
CZ,6,30
DK,6,28
DZ,6,61
HK,6,13
HU,6,31
ID,6,340
JO,6,27
NO,6,32
NZ,6,22
RO,6,62
RU,6,305
SG,6,29
TH,6,102
TN,6,28
VN,6,102
AR,5,54
CL,5,41
CY,5,20
RS,5,17
UA,5,120
ZA,5,32
BA,4,13
BG,4,30
EC,4,42
GH,4,28
HR,4,17
KZ,4,40
LB,4,23
LK,4,18
MO,4,5
NG,4,115
OM,4,21
PE,4,49
PS,4,14
SI,4,19
SK,4,24
BH,3,8
BY,3,15
CM,3,10
EE,3,6
ET,3,31
KH,3,9
KW,3,8
LT,3,17
LY,3,13
MK,3,10
MM,3,29
MN,3,11
NP,3,14
PH,3,116
PR,3,16
QA,3,9
SY,3,11
UZ,3,32
YE,3,12
AL,2,15
AM,2,7
AZ,2,14
BF,2,4
BJ,2,3
BN,2,4
BO,2,15
CI,2,8
CR,2,13
