country_code,h3,institution_count
CN,21,1007
US,16,1395
GB,12,195
IT,12,93
CA,11,110
DE,11,236
FR,11,212
JP,11,469
AU,10,57
IN,10,787
KR,10,212
MX,10,167
BR,9,249
ES,9,87
IR,9,228
PL,9,93
TW,9,130
MY,8,72
RU,8,403
TR,8,174
BE,7,27
CH,7,39
DZ,7,62
EG,7,60
FI,7,32
GR,7,39
NL,7,42
RO,7,55
SA,7,43
SE,7,32
TN,7,27
AR,6,53
AT,6,39
CZ,6,30
HU,6,29
MA,6,49
PK,6,132
PT,6,54
UA,6,135
VN,6,102
ZA,6,28
AE,5,29
CO,5,103
DK,5,22
EC,5,41
HK,5,12
ID,5,325
IE,5,18
IL,5,21
IQ,5,55
NO,5,23
NZ,5,17
RS,5,17
TH,5,84
BD,4,68
BG,4,32
CL,4,43
HR,4,22
JO,4,22
KZ,4,49
NG,4,104
SG,4,23
SK,4,21
UZ,4,44
AZ,3,14
BA,3,14
BH,3,8
CM,3,11
CU,3,19
ET,3,32
GH,3,21
KW,3,8
LB,3,24
LK,3,17
LT,3,16
LY,3,13
MK,3,10
MO,3,4
NP,3,12
OM,3,17
PE,3,46
PH,3,82
PR,3,15
PS,3,14
QA,3,7
SI,3,20
SY,3,9
VE,3,22
AL,2,5
AM,2,6
BN,2,3
BO,2,15
BW,2,3
BY,2,21
CD,2,7
CI,2,3
CR,2,11
CY,2,15
EE,2,7
FJ,2,3
GE,2,9
