country_code,h3,institution_count
US,9,1383
ES,8,97
AU,6,45
GB,6,173
ID,6,462
CA,5,107
CL,5,58
DE,5,196
JP,5,378
KR,5,188
AR,4,76
AT,4,32
FR,4,155
MX,4,162
RU,4,427
BA,3,12
BE,3,18
BR,3,194
CH,3,30
CN,3,427
CO,3,127
EC,3,54
FI,3,13
HK,3,9
IE,3,14
IT,3,65
JM,3,7
NL,3,30
NO,3,16
NZ,3,14
PE,3,70
PR,3,22
PT,3,32
RS,3,17
SE,3,21
SI,3,12
TR,3,157
TW,3,70
AL,2,19
BB,2,2
BG,2,19
BO,2,19
BS,2,2
BY,2,14
CR,2,20
CU,2,22
CZ,2,11
DK,2,10
EE,2,7
EG,2,24
GR,2,26
GT,2,5
HR,2,14
HU,2,24
IL,2,14
IN,2,203
IR,2,69
KG,2,11
KZ,2,41
MK,2,10
MY,2,47
NG,2,51
PA,2,8
PH,2,86
PK,2,43
PL,2,80
PY,2,16
RO,2,25
SG,2,11
SK,2,13
SV,2,9
TH,2,44
TT,2,4
UA,2,123
UZ,2,26
VE,2,23
XK,2,4
ZA,2,22
AD,1,1
AE,1,16
AF,1,5
AG,1,1
AM,1,12
AO,1,3
AZ,1,12
BD,1,22
BF,1,1
BH,1,2
BI,1,1
BJ,1,2
BN,1,2
BW,1,2
CD,1,6
CG,1,2
CI,1,3
CM,1,3
CV,1,1
CW,1,2
CY,1,9
DM,1,1
DO,1,8
