country_code,h3,institution_count
US,10,502
CN,9,354
DE,7,75
CA,6,37
CH,6,14
ES,6,56
FR,6,56
GB,6,84
JP,6,174
AU,5,31
KR,5,81
BE,4,10
BR,4,87
IL,4,11
IT,4,52
NL,4,15
PT,4,14
SE,4,11
AR,3,12
CL,3,16
DK,3,4
GR,3,14
HK,3,7
IN,3,172
IR,3,95
MX,3,32
RU,3,70
SG,3,6
SK,3,4
TR,3,71
TW,3,35
AT,2,12
CZ,2,8
EG,2,24
FI,2,10
HR,2,3
HU,2,10
ID,2,31
IE,2,8
IQ,2,19
LB,2,5
NO,2,8
NZ,2,6
PK,2,24
PL,2,32
RO,2,5
RS,2,6
SA,2,15
TH,2,11
ZA,2,7
AE,1,6
AF,1,1
AG,1,1
AL,1,3
AM,1,3
AZ,1,1
BA,1,3
BD,1,9
BG,1,6
BH,1,2
BJ,1,1
BO,1,1
BW,1,1
BY,1,5
CD,1,3
CG,1,1
CM,1,2
CO,1,14
CR,1,1
CU,1,2
CW,1,1
CY,1,3
DZ,1,3
EC,1,3
EE,1,2
ER,1,1
ET,1,6
GD,1,1
GE,1,5
GH,1,5
GT,1,1
IS,1,1
JO,1,4
KE,1,1
KH,1,1
KN,1,2
KW,1,2
KZ,1,5
LK,1,1
LT,1,2
LU,1,1
LV,1,2
LY,1,2
MA,1,6
MD,1,1
ME,1,1
MG,1,1
MK,1,2
MM,1,1
MN,1,1
MO,1,2
