country_code,h3,institution_count
US,19,2182
GB,12,258
AU,11,63
CA,11,153
NL,10,59
DE,9,219
ES,9,102
FR,8,147
AT,7,43
BE,7,30
BR,7,349
CN,7,659
GR,7,40
IT,7,95
NO,7,27
SE,7,33
TW,7,121
ZA,7,31
CH,6,42
FI,6,30
HK,6,11
IE,6,21
IL,6,40
JP,6,465
MY,6,68
NZ,6,19
IR,5,212
KR,5,145
PL,5,83
PT,5,72
RU,5,388
TR,5,171
CL,4,56
CY,4,16
DK,4,24
HU,4,30
ID,4,424
MA,4,27
MX,4,136
SA,4,40
SG,4,25
TH,4,93
AE,3,26
AR,3,56
BA,3,13
CO,3,132
CZ,3,24
EC,3,55
EG,3,45
GH,3,26
HR,3,19
IN,3,450
JO,3,22
KE,3,31
LB,3,18
MO,3,4
NG,3,81
PE,3,66
PH,3,147
PK,3,109
RO,3,42
RS,3,13
SI,3,14
SK,3,20
TN,3,21
UA,3,141
VN,3,65
BD,2,50
BG,2,28
BO,2,14
CR,2,13
CU,2,23
DO,2,9
DZ,2,39
EE,2,6
ET,2,24
GE,2,14
IQ,2,43
IS,2,4
JM,2,4
KG,2,10
KH,2,8
KW,2,6
KZ,2,46
LK,2,19
LT,2,17
LV,2,18
LY,2,9
MK,2,9
MM,2,8
MT,2,3
OM,2,13
PA,2,8
PR,2,13
PS,2,13
QA,2,11
RW,2,3
TZ,2,11
UG,2,13
UY,2,7
UZ,2,32
