country_code,h3,institution_count
US,19,1781
GB,15,232
BR,14,351
DE,14,226
FR,14,238
AU,13,64
CA,11,141
CN,11,759
ES,11,94
JP,11,457
AR,10,68
IT,9,93
KR,9,190
MX,9,184
PL,9,90
ZA,9,33
BE,8,23
CH,8,41
CZ,8,24
SE,8,28
TR,8,149
CL,7,56
IN,7,712
NL,7,43
NZ,7,22
RU,7,324
AT,6,44
CO,6,110
ET,6,35
HU,6,24
IR,6,182
MY,6,51
PT,6,51
TH,6,75
TW,6,88
CM,5,21
DK,5,15
DZ,5,66
EC,5,49
EG,5,43
FI,5,23
IL,5,20
MA,5,33
NG,5,115
NO,5,23
PK,5,102
RO,5,39
SN,5,17
VN,5,91
BD,4,61
BF,4,7
CD,4,32
CI,4,14
CR,4,20
GH,4,27
GR,4,29
HK,4,8
ID,4,220
IE,4,18
KE,4,41
NP,4,15
PE,4,61
PH,4,119
PR,4,24
RS,4,9
SA,4,26
SK,4,20
TN,4,23
UA,4,85
VE,4,26
BJ,3,7
BO,3,20
EE,3,6
GA,3,4
IQ,3,40
KZ,3,41
LB,3,17
LK,3,17
LV,3,9
MG,3,7
MK,3,5
ML,3,6
MW,3,4
NE,3,6
NI,3,15
PY,3,11
SG,3,14
SI,3,19
TZ,3,24
UY,3,8
UZ,3,31
ZW,3,13
AE,2,16
AL,2,11
AM,2,7
AZ,2,18
BA,2,7
BB,2,3
BG,2,28
BH,2,4
BI,2,6
