country_code,h3,institution_count
US,21,3419
AU,16,101
GB,15,415
ID,13,518
CA,12,226
ES,12,120
NL,12,85
SE,12,53
BR,11,440
DE,11,343
TR,11,204
IT,10,138
MY,10,84
FI,9,44
IL,9,50
ZA,9,49
CL,8,75
IE,8,26
NO,8,47
PT,8,116
BE,7,50
CH,7,72
CN,7,969
CZ,7,67
DK,7,39
GR,7,50
HK,7,13
MX,7,306
NG,7,143
NZ,7,32
AE,6,46
AR,6,97
AT,6,71
CO,6,184
CY,6,28
FR,6,209
KR,6,198
LT,6,39
PH,6,208
PK,6,168
SA,6,50
TH,6,127
TW,6,137
EC,5,61
GH,5,49
IN,5,873
IR,5,260
JO,5,27
JP,5,558
KE,5,60
PE,5,88
PL,5,213
RO,5,76
RS,5,21
RU,5,579
SG,5,31
SK,5,34
ZW,5,16
BD,4,98
CR,4,39
CU,4,27
EG,4,64
ET,4,36
HR,4,32
HU,4,44
KZ,4,70
LB,4,26
LV,4,29
MA,4,47
OM,4,21
SI,4,36
TZ,4,34
UA,4,209
UG,4,36
UY,4,11
VE,4,47
VN,4,110
AL,3,23
AZ,3,29
BG,3,43
BN,3,4
BO,3,41
BW,3,6
CM,3,17
DO,3,28
EE,3,17
GT,3,11
HN,3,10
IQ,3,59
IS,3,6
JM,3,7
KW,3,9
LK,3,21
MK,3,12
MM,3,28
MN,3,14
MO,3,5
MU,3,6
NP,3,18
PR,3,29
PS,3,17
