country_code,h3,institution_count
CN,37,1037
US,30,2315
KR,23,286
DE,22,310
GB,22,292
JP,22,761
IT,21,129
FR,20,291
CA,19,175
ES,19,106
IN,19,1058
AU,17,75
TW,16,144
IR,15,286
BR,14,371
RU,14,544
MY,13,80
EG,12,76
PK,12,169
PL,12,142
SA,12,49
TR,12,192
BD,11,98
BE,11,41
GR,11,49
MX,11,209
NL,11,58
SE,11,37
TH,11,119
AT,10,61
CH,10,57
DZ,10,70
FI,10,37
IL,10,34
PT,10,83
VN,10,117
ZA,10,35
AE,9,42
AR,9,64
CZ,9,37
ID,9,454
IE,9,23
MA,9,62
RO,9,69
CL,8,50
HU,8,36
IQ,8,64
JO,8,26
NO,8,32
NZ,8,29
TN,8,32
UA,8,187
CO,7,133
DK,7,32
HK,7,13
LB,7,26
NG,7,136
SG,7,31
BG,6,44
CY,6,24
EC,6,53
ET,6,39
KZ,6,53
LK,6,19
RS,6,22
SK,6,25
BY,5,40
GH,5,32
KW,5,8
NP,5,19
OM,5,22
PE,5,62
PH,5,144
PS,5,16
SI,5,21
UZ,5,45
AM,4,10
AZ,4,28
BA,4,16
CM,4,13
CU,4,21
EE,4,8
HR,4,31
KE,4,37
KP,4,6
LT,4,26
LV,4,24
LY,4,14
MK,4,12
MN,4,14
MO,4,4
PR,4,24
SD,4,35
SN,4,12
TJ,4,9
TZ,4,23
VE,4,26
YE,4,16
AL,3,16
BF,3,5
BO,3,16
