country_code,h3,institution_count
US,9,607
CN,7,489
DE,7,109
ES,7,53
FR,7,83
GB,7,101
IT,7,49
BR,6,122
CA,6,57
JP,6,202
PL,6,46
AU,5,31
CZ,5,18
IN,5,324
IR,5,155
KR,5,78
RU,5,104
AR,4,21
BE,4,14
CH,4,15
CL,4,26
EG,4,33
IL,4,9
MA,4,18
MX,4,51
NL,4,17
PT,4,23
RO,4,21
SA,4,27
SE,4,14
TW,4,59
AT,3,16
BD,3,16
DZ,3,28
FI,3,11
GR,3,12
HK,3,7
HU,3,11
IE,3,10
MY,3,27
PK,3,54
RS,3,6
SK,3,9
TH,3,35
TN,3,11
TR,3,85
UA,3,41
ZA,3,16
AE,2,7
BG,2,14
BY,2,4
CI,2,5
CM,2,5
CO,2,24
DK,2,6
EC,2,16
EE,2,2
ET,2,17
HR,2,6
ID,2,36
IQ,2,31
JO,2,12
KZ,2,10
LB,2,4
LT,2,7
LY,2,7
MK,2,4
NO,2,4
NZ,2,9
PH,2,11
PR,2,7
PS,2,6
SG,2,4
SI,2,5
VE,2,5
VN,2,27
AM,1,2
AZ,1,5
BA,1,4
BB,1,1
BF,1,1
BH,1,1
BI,1,1
BN,1,1
BO,1,2
BW,1,2
CD,1,1
CR,1,4
CU,1,4
CY,1,4
DO,1,1
ER,1,1
GA,1,1
GE,1,3
GH,1,3
IS,1,1
JM,1,2
KE,1,6
KP,1,2
KW,1,2
LK,1,3
