country_code,h3,institution_count
US,19,1394
GB,11,199
AU,10,62
CA,10,112
DE,10,184
FR,9,112
KR,9,122
IR,8,135
IT,8,67
JP,8,247
TR,8,142
BE,7,18
ES,7,85
NL,7,43
SE,7,29
AT,6,35
CH,6,34
CN,6,346
FI,6,22
IE,6,11
IN,6,501
TW,6,73
BR,5,266
EG,5,39
IL,5,18
NO,5,19
PL,5,66
SA,5,42
TH,5,42
ZA,5,26
CO,4,73
DK,4,16
ET,4,35
GR,4,26
NG,4,83
NP,4,15
NZ,4,17
PK,4,100
RS,4,12
SG,4,15
BD,3,46
BG,3,13
CL,3,33
CM,3,13
CZ,3,21
GH,3,19
HK,3,8
HU,3,12
ID,3,109
IS,3,4
LB,3,8
LK,3,15
MA,3,17
MX,3,108
MY,3,48
PE,3,47
PR,3,14
PT,3,37
RO,3,27
RU,3,115
RW,3,7
TN,3,10
TZ,3,17
UG,3,17
AE,2,20
AF,2,5
AG,2,2
AL,2,9
AR,2,42
BA,2,7
BF,2,5
BH,2,7
BJ,2,4
BO,2,14
BT,2,2
CD,2,17
CI,2,5
CR,2,12
CU,2,15
CY,2,10
EC,2,32
EE,2,5
GE,2,16
GT,2,4
HR,2,15
IQ,2,33
JM,2,3
JO,2,16
KE,2,28
KH,2,6
KW,2,5
KZ,2,21
LT,2,11
LY,2,8
MG,2,5
MK,2,4
MM,2,10
OM,2,8
PH,2,42
PS,2,11
QA,2,7
