country_code,h3,institution_count
US,15,1205
CN,14,710
CA,11,101
GB,10,146
AU,9,47
DE,9,158
FR,9,142
JP,9,316
ES,8,71
SE,8,24
BR,7,243
FI,7,23
IT,7,66
KR,7,119
NL,7,32
PL,7,59
AR,6,54
CH,6,22
IE,6,18
IN,6,469
NO,6,18
NZ,6,15
RU,6,180
AT,5,22
BE,5,19
CZ,5,19
IL,5,12
MX,5,99
PT,5,39
ZA,5,29
BD,4,51
CL,4,38
DK,4,12
GR,4,25
IR,4,137
MA,4,21
MY,4,44
TH,4,45
TW,4,76
BG,3,12
CO,3,70
DZ,3,35
EE,3,5
EG,3,36
GH,3,11
HK,3,9
HR,3,9
HU,3,18
ID,3,81
NG,3,78
PH,3,31
RO,3,36
RS,3,11
SA,3,21
SK,3,13
TN,3,15
TR,3,85
VN,3,43
AE,2,11
BF,2,4
BI,2,2
BO,2,7
CI,2,7
CM,2,7
CR,2,11
CU,2,16
CY,2,7
EC,2,37
ET,2,19
IQ,2,31
IS,2,4
KE,2,15
KH,2,8
KZ,2,13
LB,2,9
LK,2,14
LT,2,8
LV,2,7
LY,2,6
MN,2,5
MO,2,3
NI,2,8
NP,2,9
OM,2,6
PE,2,50
PK,2,73
PR,2,12
QA,2,5
SG,2,12
SI,2,9
TZ,2,12
UA,2,62
UY,2,8
VE,2,15
ZW,2,6
AF,1,2
AL,1,5
AM,1,5
AO,1,2
AX,1,1
AZ,1,8
