country_code,h3,institution_count
US,33,2418
CN,23,908
GB,23,306
DE,21,268
IT,21,126
FR,19,227
JP,19,642
AU,17,87
CA,16,170
ES,16,119
KR,16,215
BR,15,401
IR,12,242
NL,12,63
TR,12,183
TW,12,118
IN,11,941
PL,11,154
BE,10,47
CH,10,58
EG,10,63
MX,10,236
SE,10,44
AR,9,86
AT,9,50
CL,9,60
CO,9,135
NG,9,135
RU,9,447
TH,9,95
GR,8,41
IE,8,23
IL,8,37
PK,8,161
SA,8,47
BD,7,102
ET,7,41
FI,7,27
NO,7,29
NZ,7,24
PT,7,88
RO,7,58
ZA,7,35
CZ,6,41
DK,6,29
HK,6,10
HU,6,32
ID,6,313
MA,6,37
MY,6,68
NP,6,20
VE,6,29
VN,6,99
AE,5,39
BA,5,14
BG,5,31
CI,5,11
EC,5,54
GE,5,22
GH,5,39
HR,5,25
IQ,5,58
KE,5,46
KZ,5,49
LB,5,23
PE,5,79
PR,5,29
RS,5,18
SK,5,25
TN,5,28
TZ,5,33
BH,4,7
BO,4,35
CM,4,18
CR,4,21
CU,4,25
DZ,4,51
JO,4,20
LK,4,20
MM,4,26
MN,4,12
PH,4,118
PS,4,13
SD,4,34
SG,4,28
UA,4,149
UG,4,34
AF,3,17
AL,3,15
BF,3,7
BJ,3,3
BT,3,3
BW,3,7
BY,3,23
CD,3,28
CY,3,20
DO,3,16
EE,3,11
GA,3,4
GT,3,8
HN,3,8
