country_code,h3,institution_count
US,13,400
GB,8,107
AU,6,32
CA,6,28
IT,6,33
BR,5,150
DE,5,56
ES,4,25
FR,4,47
PL,4,28
AT,3,8
BE,3,11
EG,3,15
IE,3,9
JP,3,59
NL,3,15
PT,3,16
SE,3,13
AE,2,6
AR,2,15
CH,2,8
CL,2,16
CN,2,22
CO,2,26
CZ,2,7
DK,2,4
FI,2,6
HU,2,9
ID,2,10
IN,2,42
IR,2,22
IS,2,4
KR,2,16
MX,2,25
NG,2,11
NZ,2,8
PE,2,9
RU,2,12
TH,2,11
TR,2,31
ZA,2,10
AO,1,1
AZ,1,1
BA,1,2
BB,1,1
BD,1,4
BG,1,2
BO,1,3
BT,1,1
CR,1,3
CU,1,1
DO,1,1
DZ,1,3
EC,1,6
ER,1,1
ET,1,7
GD,1,1
GH,1,3
GN,1,1
GR,1,3
GU,1,1
GY,1,1
HK,1,1
HR,1,3
IL,1,3
IQ,1,9
JM,1,1
JO,1,1
KE,1,1
KG,1,1
KN,1,1
KZ,1,3
LB,1,2
LI,1,1
LT,1,2
LV,1,2
LY,1,2
MA,1,1
MK,1,1
ML,1,1
MM,1,1
MN,1,2
MW,1,1
MY,1,5
MZ,1,1
NO,1,4
NU,1,1
PH,1,3
PK,1,4
PR,1,3
PS,1,1
PY,1,1
QA,1,1
RO,1,4
RS,1,3
SA,1,6
SD,1,2
SG,1,2
SI,1,3
SK,1,2
SN,1,2
