country_code,h3,institution_count
US,19,1771
GB,12,227
AU,11,60
CA,11,122
DE,11,206
NL,9,50
CN,8,779
ES,8,104
FR,8,168
JP,8,454
BE,7,28
BR,7,284
IT,7,92
KR,7,169
SE,7,37
CH,6,45
FI,6,24
IL,6,38
NO,6,30
PL,6,110
TW,6,115
AT,5,44
DK,5,19
HK,5,12
IE,5,19
IR,5,196
NZ,5,17
PT,5,52
AR,4,50
CL,4,50
CO,4,92
GR,4,32
HU,4,31
IN,4,610
MX,4,97
MY,4,62
RU,4,236
SA,4,42
SG,4,22
TR,4,163
ZA,4,27
AE,3,29
BD,3,58
CY,3,13
CZ,3,21
EE,3,6
EG,3,47
HR,3,16
ID,3,191
JO,3,24
LB,3,15
MO,3,4
NG,3,85
PE,3,43
PK,3,118
RO,3,50
RS,3,13
SK,3,18
TH,3,60
TN,3,20
UA,3,100
BA,2,8
BG,2,20
BH,2,7
BO,2,12
CM,2,9
CR,2,11
CU,2,14
DZ,2,29
EC,2,35
ET,2,26
GE,2,11
GH,2,21
GT,2,7
IQ,2,39
IS,2,4
KE,2,31
KH,2,3
KZ,2,35
LK,2,17
LT,2,15
LV,2,16
LY,2,6
MA,2,21
MK,2,8
MN,2,10
NP,2,15
OM,2,13
PH,2,85
PR,2,13
PS,2,12
QA,2,8
SD,2,14
SI,2,16
TZ,2,11
UG,2,8
UY,2,5
VE,2,14
VN,2,61
YE,2,9
AD,1,1
