country_code,h3,institution_count
US,7,481
CA,5,44
NL,5,25
GB,4,99
AU,3,32
BR,3,93
CH,3,11
ES,3,56
FR,3,46
JP,3,61
SE,3,13
AT,2,11
BE,2,8
CL,2,20
CN,2,113
CO,2,37
DE,2,58
DK,2,12
ET,2,19
FI,2,7
GR,2,13
HU,2,6
ID,2,54
IL,2,10
IN,2,151
IR,2,54
IT,2,39
JO,2,9
KR,2,38
LB,2,7
MY,2,21
NO,2,10
NP,2,6
NZ,2,8
PE,2,13
PK,2,26
PL,2,19
PT,2,20
RU,2,24
SA,2,30
SG,2,8
TH,2,16
TR,2,41
TW,2,20
ZA,2,15
AE,1,7
AF,1,1
AG,1,1
AL,1,1
AR,1,9
AW,1,1
BA,1,3
BD,1,13
BF,1,1
BG,1,3
BH,1,3
BN,1,1
BO,1,3
CD,1,3
CI,1,2
CM,1,3
CR,1,6
CU,1,8
CY,1,5
CZ,1,4
DO,1,2
DZ,1,5
EC,1,10
EE,1,2
EG,1,19
GD,1,1
GE,1,1
GH,1,9
GT,1,1
HK,1,4
HN,1,2
HR,1,4
IE,1,9
IQ,1,11
IS,1,1
JM,1,1
KE,1,4
KH,1,2
KW,1,2
KZ,1,6
LA,1,1
LK,1,6
LS,1,1
LT,1,3
LU,1,1
LV,1,2
LY,1,1
MA,1,9
MK,1,2
MM,1,4
MN,1,2
MO,1,2
MT,1,1
MW,1,1
MX,1,33
MZ,1,1
