country_code,h3,institution_count
CN,5,225
US,5,263
BR,4,57
DE,4,69
IN,4,162
IR,4,67
IT,4,29
RU,4,58
CA,3,34
ES,3,32
GB,3,47
JP,3,94
NL,3,12
PL,3,23
PT,3,14
SE,3,10
AR,2,11
AT,2,9
AU,2,11
BE,2,6
CH,2,8
CL,2,13
CO,2,9
CZ,2,8
DK,2,5
DZ,2,11
EG,2,14
FI,2,8
FR,2,41
HR,2,2
HU,2,8
IL,2,7
KR,2,20
MA,2,11
MX,2,19
MY,2,17
NO,2,4
PK,2,18
TH,2,8
TJ,2,4
TN,2,4
TR,2,27
TW,2,19
ZA,2,11
AE,1,2
AM,1,2
AZ,1,4
BB,1,1
BD,1,9
BG,1,6
BN,1,1
BY,1,5
CU,1,1
CV,1,1
EC,1,3
EE,1,1
ET,1,4
GE,1,2
GM,1,1
GR,1,6
GY,1,1
HK,1,5
ID,1,11
IE,1,4
IQ,1,9
IS,1,1
JM,1,2
JO,1,6
KE,1,1
KG,1,1
KH,1,1
KW,1,3
KZ,1,4
LB,1,2
LK,1,1
LT,1,2
LY,1,4
MD,1,1
MZ,1,2
NG,1,11
NP,1,2
NZ,1,6
OM,1,1
PH,1,1
PR,1,3
PS,1,1
QA,1,1
RO,1,7
RS,1,4
SA,1,8
SD,1,2
SG,1,2
SI,1,3
SK,1,2
SZ,1,1
TT,1,1
TZ,1,1
UA,1,14
UG,1,1
UZ,1,7
VE,1,4
