country_code,h3,institution_count
US,16,1238
GB,13,198
AU,10,50
CA,10,99
CN,10,728
FR,10,173
DE,9,214
IT,9,95
NL,9,42
CH,8,42
ES,7,86
TW,7,114
AT,6,39
BE,6,23
FI,6,19
GR,6,40
HK,6,12
IR,6,177
JP,6,282
KR,6,133
NZ,6,15
PL,6,111
PT,6,49
SE,6,29
TR,6,166
ZA,6,30
BR,5,169
CZ,5,28
DK,5,12
HU,5,27
IE,5,15
IL,5,26
IN,5,687
NO,5,17
PH,5,66
VN,5,77
CL,4,33
CO,4,73
MX,4,75
MY,4,60
PK,4,127
RO,4,47
RU,4,177
SA,4,40
SG,4,16
SK,4,18
TH,4,65
TN,4,26
AE,3,33
AL,3,17
AR,3,32
BD,3,70
BG,3,21
CY,3,18
DZ,3,51
EG,3,38
GH,3,31
HR,3,13
ID,3,189
KE,3,41
KZ,3,31
LB,3,15
LK,3,15
LT,3,14
LV,3,11
MA,3,33
MK,3,10
MO,3,5
NG,3,116
NP,3,17
PE,3,30
RS,3,13
SI,3,11
SN,3,12
UA,3,85
AM,2,7
BA,2,12
BB,2,3
BH,2,6
BN,2,3
BO,2,9
CD,2,16
CI,2,10
CM,2,17
CR,2,11
CU,2,11
EC,2,28
EE,2,6
ET,2,31
FJ,2,3
GA,2,2
GE,2,15
GT,2,6
IQ,2,37
IS,2,4
JM,2,4
JO,2,24
KH,2,9
KW,2,6
LU,2,2
LY,2,6
