country_code,h3,institution_count
CN,18,889
US,17,1447
IT,16,101
ES,15,99
BR,14,385
FR,13,213
GB,13,221
KR,13,242
IR,12,246
AU,11,58
CA,11,129
DE,11,213
MX,11,230
TR,11,181
ID,10,482
IN,10,898
JP,10,569
AR,9,77
EG,9,62
GR,9,41
MA,9,37
PL,9,134
PT,9,73
BE,8,34
MY,8,66
NG,8,142
NL,8,46
RO,8,51
SA,8,44
SE,8,33
TH,8,105
CH,7,38
CL,7,53
CO,7,145
DZ,7,62
PK,7,139
TN,7,27
TW,7,109
ZA,7,30
AT,6,42
BD,6,85
CZ,6,32
DK,6,20
ET,6,36
HU,6,29
IE,6,16
RU,6,463
UA,6,160
AE,5,32
BG,5,32
CM,5,16
EC,5,54
FI,5,28
GH,5,32
IL,5,23
IQ,5,54
JO,5,23
KZ,5,57
NO,5,23
NP,5,18
NZ,5,19
PE,5,79
RS,5,20
SK,5,18
VN,5,87
BA,4,13
CI,4,12
CU,4,24
EE,4,6
HK,4,9
HR,4,18
KE,4,44
LB,4,16
LK,4,18
LT,4,16
MK,4,6
SD,4,36
SG,4,21
SI,4,15
VE,4,34
AL,3,12
AM,3,8
AZ,3,19
BJ,3,5
BO,3,24
CR,3,24
CY,3,17
GE,3,17
KG,3,13
KH,3,14
LV,3,15
LY,3,12
MZ,3,9
NI,3,21
OM,3,11
PH,3,134
PR,3,20
PS,3,15
SY,3,9
TZ,3,21
UG,3,23
